Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
49,ALG2,Passenger-optimal,738,3120,882.0,5807,2,98,0,0,46,0.5372825899776132,0.0,60,F2P,F2P
50,ALG1,Passenger-optimal,581,4976,1001.0,5772,23,99,0,0,57,0.8620928620928621,0.0,60,F1P,F1P
51,ALG2,Passenger-optimal,723,3230,1136.0,5772,2,97,0,0,53,0.5595980595980596,0.0,60,F2P,F2P
52,ALG1,Passenger-optimal,610,4999,736.0,5792,21,99,0,0,52,0.8630870165745856,0.0,60,F1P,F1P
53,ALG2,Passenger-optimal,819,2746,1083.0,5792,2,97,0,0,55,0.4741022099447514,0.0,60,F2P,F2P
54,ALG1,Passenger-optimal,546,4978,953.0,5810,2,99,0,0,42,0.8567986230636833,0.0,60,F1P,F1P
55,ALG2,Passenger-optimal,672,2918,1242.0,5810,3,98,0,0,48,0.50223752151463,0.0,60,F2P,F2P
56,ALG1,Passenger-optimal,584,5076,957.0,5814,23,99,0,0,52,0.8730650154798761,0.0,60,F1P,F1P
57,ALG2,Passenger-optimal,909,2757,1181.0,5814,2,95,0,0,50,0.4742002063983488,0.0,60,F2P,F2P
58,ALG1,Passenger-optimal,523,5318,1152.0,5831,42,99,0,0,54,0.912021951637798,0.0,60,F1P,F1P
59,ALG2,Passenger-optimal,880,3296,912.0,5831,3,98,0,0,53,0.5652546732978906,0.0,60,F2P,F2P
60,ALG1,Passenger-optimal,511,5052,1254.0,5789,43,99,0,0,53,0.8726895836932113,0.0,60,F1P,F1P
61,ALG2,Passenger-optimal,887,2834,1116.0,5789,1,97,0,0,53,0.4895491449300397,0.0,60,F2P,F2P
62,ALG1,Passenger-optimal,489,5154,1194.0,5802,29,99,0,0,55,0.8883143743536711,0.0,60,F1P,F1P
63,ALG2,Passenger-optimal,727,3103,1069.0,5802,1,98,0,0,55,0.5348155808341951,0.0,60,F2P,F2P
64,ALG1,Passenger-optimal,605,4868,1031.0,5808,17,99,0,0,57,0.8381542699724518,0.0,60,F1P,F1P
65,ALG2,Passenger-optimal,632,2908,965.0,5808,1,98,0,0,46,0.5006887052341598,0.0,60,F2P,F2P
66,ALG1,Passenger-optimal,445,5263,804.0,5793,16,99,0,0,50,0.9085102710167443,0.0,60,F1P,F1P
67,ALG2,Passenger-optimal,821,2952,1232.0,5793,2,95,0,0,53,0.5095805282237182,0.0,60,F2P,F2P
68,ALG1,Passenger-optimal,648,5036,1011.0,5804,17,99,0,0,55,0.8676774638180565,0.0,60,F1P,F1P
69,ALG2,Passenger-optimal,754,2952,1061.0,5804,2,99,0,0,47,0.5086147484493453,0.0,60,F2P,F2P
70,ALG1,Passenger-optimal,609,5286,778.0,5819,21,99,0,0,52,0.9084035057570029,0.0,60,F1P,F1P
71,ALG2,Passenger-optimal,800,3077,985.0,5819,3,96,0,0,51,0.5287850146073209,0.0,60,F2P,F2P
72,ALG1,Passenger-optimal,592,5164,1038.0,5831,27,99,0,0,55,0.8856113874121077,0.0,60,F1P,F1P
73,ALG2,Passenger-optimal,969,2784,940.0,5831,2,99,0,0,54,0.47744812210598525,0.0,60,F2P,F2P
74,ALG1,Passenger-optimal,586,5060,1061.0,5798,2,99,0,0,51,0.8727147292169714,0.0,60,F1P,F1P
75,ALG2,Passenger-optimal,903,2907,1069.0,5798,1,97,0,0,56,0.5013797861331494,0.0,60,F2P,F2P
76,ALG1,Passenger-optimal,550,4626,1068.0,5794,1,99,0,0,53,0.7984121505005177,0.0,60,F1P,F1P
77,ALG2,Passenger-optimal,739,3096,964.0,5794,4,99,0,0,55,0.5343458750431481,0.0,60,F2P,F2P
78,ALG1,Passenger-optimal,597,5236,1061.0,5811,24,99,0,0,49,0.9010497332644983,0.0,60,F1P,F1P
79,ALG2,Passenger-optimal,915,2832,1058.0,5811,1,99,0,0,46,0.48735157459989675,0.0,60,F2P,F2P
80,ALG1,Passenger-optimal,623,4942,1171.0,5820,26,99,0,0,58,0.8491408934707904,0.0,60,F1P,F1P
81,ALG2,Passenger-optimal,674,3090,984.0,5820,2,99,0,0,50,0.5309278350515464,0.0,60,F2P,F2P
82,ALG1,Passenger-optimal,504,5278,1285.0,5818,41,99,0,0,52,0.907184599518735,0.0,60,F1P,F1P
83,ALG2,Passenger-optimal,848,3008,1112.0,5818,4,98,0,0,54,0.5170161567548985,0.0,60,F2P,F2P
84,ALG1,Passenger-optimal,565,5129,1180.0,5790,17,99,0,0,55,0.8858376511226252,0.0,60,F1P,F1P
85,ALG2,Passenger-optimal,916,3304,1308.0,5790,1,93,0,0,54,0.5706390328151986,0.0,60,F2P,F2P
86,ALG1,Passenger-optimal,662,5166,1080.0,5803,35,99,0,0,53,0.8902291917973462,0.0,60,F1P,F1P
87,ALG2,Passenger-optimal,814,2878,1228.0,5803,1,96,0,0,58,0.49595037049801827,0.0,60,F2P,F2P
88,ALG1,Passenger-optimal,483,5129,1089.0,5828,16,99,0,0,53,0.8800617707618394,0.0,60,F1P,F1P
89,ALG2,Passenger-optimal,807,3151,1257.0,5828,1,98,0,0,56,0.540665751544269,0.0,60,F2P,F2P
90,ALG1,Passenger-optimal,411,5143,699.0,5828,2,99,0,0,47,0.8824639670555937,0.0,60,F1P,F1P
91,ALG2,Passenger-optimal,925,2781,1145.0,5828,1,99,0,0,49,0.47717913520933425,0.0,60,F2P,F2P
92,ALG1,Passenger-optimal,570,4935,986.0,5815,8,99,0,0,48,0.8486672398968186,0.0,60,F1P,F1P
93,ALG2,Passenger-optimal,835,2623,865.0,5815,1,98,0,0,47,0.45107480653482374,0.0,60,F2P,F2P
94,ALG1,Passenger-optimal,568,4848,1165.0,5810,5,99,0,0,56,0.8344234079173838,0.0,60,F1P,F1P
95,ALG2,Passenger-optimal,735,2960,1173.0,5810,3,98,0,0,53,0.5094664371772806,0.0,60,F2P,F2P
96,ALG1,Passenger-optimal,585,5037,904.0,5828,9,99,0,0,44,0.8642759094028827,0.0,60,F1P,F1P
97,ALG2,Passenger-optimal,743,2886,1035.0,5828,1,97,0,0,46,0.4951956074124914,0.0,60,F2P,F2P
98,ALG1,Passenger-optimal,569,5242,1005.0,5807,43,99,0,0,55,0.9027036335457207,0.0,60,F1P,F1P
99,ALG2,Passenger-optimal,952,2810,926.0,5807,1,99,0,0,47,0.4838987428965042,0.0,60,F2P,F2P
100,ALG1,Passenger-optimal,639,5084,889.0,5814,23,99,0,0,47,0.8744410044719643,0.0,60,F1P,F1P
101,ALG2,Passenger-optimal,894,2756,1187.0,5814,3,97,0,0,55,0.4740282077743378,0.0,60,F2P,F2P
102,ALG1,Passenger-optimal,514,5284,1137.0,5825,36,99,0,0,54,0.9071244635193133,0.0,60,F1P,F1P
103,ALG2,Passenger-optimal,854,2599,1143.0,5825,1,99,0,0,51,0.4461802575107296,0.0,60,F2P,F2P
104,ALG1,Passenger-optimal,638,5083,998.0,5818,40,99,0,0,56,0.8736679271227226,0.0,60,F1P,F1P
105,ALG2,Passenger-optimal,920,2541,1044.0,5818,1,96,0,0,55,0.4367480233757305,0.0,60,F2P,F2P
106,ALG1,Passenger-optimal,651,4900,859.0,5818,9,99,0,0,43,0.8422138191818495,0.0,60,F1P,F1P
107,ALG2,Passenger-optimal,745,3066,956.0,5818,1,99,0,0,55,0.5269852182880715,0.0,60,F2P,F2P
108,ALG1,Passenger-optimal,542,5061,981.0,5842,3,99,0,0,54,0.8663129065388565,0.0,60,F1P,F1P
109,ALG2,Passenger-optimal,705,3310,1168.0,5842,3,99,0,0,54,0.5665867853474837,0.0,60,F2P,F2P
110,ALG1,Passenger-optimal,718,4871,813.0,5821,20,99,0,0,45,0.836797801065109,0.0,60,F1P,F1P
111,ALG2,Passenger-optimal,866,2948,1013.0,5821,1,99,0,0,58,0.5064421920632194,0.0,60,F2P,F2P
112,ALG1,Passenger-optimal,766,5094,1132.0,5829,24,99,0,0,53,0.8739063304168811,0.0,60,F1P,F1P
113,ALG2,Passenger-optimal,885,2801,1100.0,5829,1,96,0,0,50,0.48052839252015783,0.0,60,F2P,F2P
114,ALG1,Passenger-optimal,626,5226,972.0,5810,30,99,0,0,54,0.8994836488812392,0.0,60,F1P,F1P
115,ALG2,Passenger-optimal,773,3273,995.0,5810,2,99,0,0,43,0.5633390705679863,0.0,60,F2P,F2P
116,ALG1,Passenger-optimal,748,5062,1138.0,5826,19,99,0,0,57,0.8688637143837967,0.0,60,F1P,F1P
117,ALG2,Passenger-optimal,846,3026,1102.0,5826,1,97,0,0,54,0.5193958118777893,0.0,60,F2P,F2P
118,ALG1,Passenger-optimal,577,5120,985.0,5803,12,99,0,0,57,0.8823022574530416,0.0,60,F1P,F1P
119,ALG2,Passenger-optimal,906,2579,1220.0,5803,1,98,0,0,53,0.44442529726003793,0.0,60,F2P,F2P
120,ALG1,Passenger-optimal,501,5267,1101.0,5809,30,99,0,0,51,0.90669650542262,0.0,60,F1P,F1P
121,ALG2,Passenger-optimal,862,2867,1225.0,5809,1,98,0,0,53,0.4935444999139267,0.0,60,F2P,F2P
122,ALG1,Passenger-optimal,725,5321,979.0,5834,35,99,0,0,46,0.9120671923208776,0.0,60,F1P,F1P
123,ALG2,Passenger-optimal,784,3476,1076.0,5834,5,99,0,0,55,0.5958176208433322,0.0,60,F2P,F2P
124,ALG1,Passenger-optimal,639,4784,921.0,5811,12,99,0,0,50,0.8232662192393736,0.0,60,F1P,F1P
125,ALG2,Passenger-optimal,806,2874,1068.0,5811,1,99,0,0,51,0.4945792462570986,0.0,60,F2P,F2P
126,ALG1,Passenger-optimal,705,5024,1052.0,5850,15,99,0,0,50,0.8588034188034188,0.0,60,F1P,F1P
127,ALG2,Passenger-optimal,845,2879,1025.0,5850,4,92,0,0,50,0.4921367521367521,0.0,60,F2P,F2P
128,ALG1,Passenger-optimal,584,4941,960.0,5815,10,99,0,0,52,0.8496990541702494,0.0,60,F1P,F1P
129,ALG2,Passenger-optimal,859,2924,1109.0,5815,2,99,0,0,54,0.5028374892519346,0.0,60,F2P,F2P
130,ALG1,Passenger-optimal,663,5193,918.0,5815,24,99,0,0,51,0.8930352536543422,0.0,60,F1P,F1P
131,ALG2,Passenger-optimal,888,2772,1008.0,5815,2,99,0,0,57,0.4766981943250215,0.0,60,F2P,F2P
132,ALG1,Passenger-optimal,656,5146,1056.0,5806,21,99,0,0,48,0.8863244919049259,0.0,60,F1P,F1P
133,ALG2,Passenger-optimal,965,2673,851.0,5806,2,92,0,0,51,0.46038580778504995,0.0,60,F2P,F2P
134,ALG1,Passenger-optimal,598,5032,791.0,5803,21,99,0,0,45,0.8671376874030674,0.0,60,F1P,F1P
135,ALG2,Passenger-optimal,811,3311,1054.0,5803,2,99,0,0,50,0.5705669481302774,0.0,60,F2P,F2P
136,ALG1,Passenger-optimal,491,5112,897.0,5834,18,99,0,0,48,0.8762427151182722,0.0,60,F1P,F1P
137,ALG2,Passenger-optimal,995,2601,1041.0,5834,2,98,0,0,55,0.44583476174151526,0.0,60,F2P,F2P
138,ALG1,Passenger-optimal,699,5197,1009.0,5817,47,99,0,0,54,0.8934158500945505,0.0,60,F1P,F1P
139,ALG2,Passenger-optimal,843,2741,1061.0,5817,1,99,0,0,52,0.4712050885336084,0.0,60,F2P,F2P
