Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
641,ALG2,Passenger-optimal,108,883,663,1820,1,98,85,2,57,0.48516483516483516,0.1282051282051282,20,F2P,F2P
642,ALG1,Passenger-optimal,71,1288,602,1827,1,99,98,2,58,0.7049808429118773,0.16279069767441862,20,F1P,F1P
643,ALG2,Passenger-optimal,67,982,550,1827,5,93,98,1,54,0.5374931581828134,0.1781818181818182,20,F2P,F2P
644,ALG1,Passenger-optimal,79,1517,628,1873,34,97,98,5,57,0.809930592632141,0.15605095541401273,20,F1P,F1P
645,ALG2,Passenger-optimal,96,1147,551,1873,5,96,98,4,59,0.612386545648692,0.17785843920145192,20,F2P,F2P
646,ALG1,Passenger-optimal,83,1466,568,1855,37,97,70,1,57,0.7902964959568733,0.12323943661971831,20,F1P,F1P
647,ALG2,Passenger-optimal,78,1158,652,1855,6,99,70,13,58,0.6242587601078167,0.10736196319018405,20,F2P,F2P
648,ALG1,Passenger-optimal,57,1396,640,1841,24,99,92,2,59,0.7582835415535035,0.14375,20,F1P,F1P
649,ALG2,Passenger-optimal,111,1087,507,1841,6,99,92,1,54,0.5904399782726779,0.1814595660749507,20,F2P,F2P
650,ALG1,Passenger-optimal,79,1271,483,1830,1,97,112,3,57,0.694535519125683,0.2318840579710145,20,F1P,F1P
651,ALG2,Passenger-optimal,80,1041,487,1830,5,99,112,4,55,0.5688524590163935,0.2299794661190965,20,F2P,F2P
652,ALG1,Passenger-optimal,89,1326,668,1820,21,99,96,8,59,0.7285714285714285,0.1437125748502994,20,F1P,F1P
653,ALG2,Passenger-optimal,61,1155,445,1820,18,99,96,1,59,0.6346153846153846,0.2157303370786517,20,F2P,F2P
654,ALG1,Passenger-optimal,58,1153,677,1812,13,93,115,4,59,0.6363134657836644,0.16986706056129985,20,F1P,F1P
655,ALG2,Passenger-optimal,99,939,521,1812,3,94,115,1,54,0.5182119205298014,0.22072936660268713,20,F2P,F2P
656,ALG1,Passenger-optimal,56,1502,576,1828,42,95,128,1,58,0.8216630196936543,0.2222222222222222,20,F1P,F1P
657,ALG2,Passenger-optimal,111,950,715,1828,6,96,128,3,57,0.5196936542669585,0.17902097902097902,20,F2P,F2P
658,ALG1,Passenger-optimal,77,1635,513,1881,41,99,127,4,59,0.8692185007974481,0.2475633528265107,20,F1P,F1P
659,ALG2,Passenger-optimal,90,1053,507,1881,1,99,127,1,55,0.5598086124401914,0.2504930966469428,20,F2P,F2P
660,ALG1,Passenger-optimal,45,1295,448,1837,14,98,88,1,54,0.7049537289058248,0.19642857142857142,20,F1P,F1P
661,ALG2,Passenger-optimal,44,1328,794,1837,2,97,88,6,57,0.7229178007621121,0.11083123425692695,20,F2P,F2P
662,ALG1,Passenger-optimal,47,1462,686,1858,9,98,108,3,56,0.7868675995694295,0.15743440233236153,20,F1P,F1P
663,ALG2,Passenger-optimal,83,1126,670,1858,14,96,108,13,56,0.6060279870828849,0.16119402985074627,20,F2P,F2P
664,ALG1,Passenger-optimal,69,1391,641,1810,29,95,97,1,58,0.7685082872928177,0.15132605304212168,20,F1P,F1P
665,ALG2,Passenger-optimal,83,1104,605,1810,2,96,97,3,59,0.6099447513812155,0.16033057851239668,20,F2P,F2P
666,ALG1,Passenger-optimal,58,1392,444,1796,31,98,106,2,57,0.7750556792873051,0.23873873873873874,20,F1P,F1P
667,ALG2,Passenger-optimal,86,924,550,1796,5,92,106,1,58,0.5144766146993318,0.19272727272727272,20,F2P,F2P
668,ALG1,Passenger-optimal,57,1304,559,1849,2,99,100,1,55,0.7052460789616009,0.17889087656529518,20,F1P,F1P
669,ALG2,Passenger-optimal,59,1002,706,1849,4,99,100,1,58,0.541914548404543,0.141643059490085,20,F2P,F2P
670,ALG1,Passenger-optimal,72,1432,668,1838,33,97,94,2,57,0.779107725788901,0.1407185628742515,20,F1P,F1P
671,ALG2,Passenger-optimal,88,1034,515,1838,1,94,94,1,59,0.5625680087051143,0.1825242718446602,20,F2P,F2P
672,ALG1,Passenger-optimal,73,1330,520,1829,3,99,114,1,55,0.7271733187534172,0.21923076923076923,20,F1P,F1P
673,ALG2,Passenger-optimal,87,1162,652,1829,14,96,114,7,57,0.6353198469108803,0.17484662576687116,20,F2P,F2P
674,ALG1,Passenger-optimal,74,1429,550,1867,40,99,75,3,58,0.7653990358864489,0.13636363636363635,20,F1P,F1P
675,ALG2,Passenger-optimal,100,927,558,1867,3,98,75,1,58,0.4965184788430637,0.13440860215053763,20,F2P,F2P
