Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,1064,6193,2368,7791,7,98,125,1,59,0.7948915415222693,0.052787162162162164,80,F1P,F1P
1,ALG2,Passenger-optimal,1524,3986,2441,7791,1,98,125,3,59,0.5116159671415736,0.05120852109791069,80,F2P,F2P
2,ALG1,Passenger-optimal,1125,6304,2609,7810,19,99,138,2,59,0.8071702944942382,0.052893829053277115,80,F1P,F1P
3,ALG2,Passenger-optimal,1778,3708,2413,7810,1,99,138,4,58,0.47477592829705506,0.05719021964359718,80,F2P,F2P
4,ALG1,Passenger-optimal,1167,6659,2121,7798,4,99,134,1,59,0.8539369068992049,0.06317774634606317,80,F1P,F1P
5,ALG2,Passenger-optimal,1351,4354,2677,7798,1,99,134,3,58,0.5583482944344704,0.0500560328726186,80,F2P,F2P
6,ALG1,Passenger-optimal,1126,6382,2508,7798,3,99,141,1,59,0.8184149781995383,0.056220095693779906,80,F1P,F1P
7,ALG2,Passenger-optimal,1543,3711,2261,7798,1,99,141,2,59,0.4758912541677353,0.062361786819991154,80,F2P,F2P
8,ALG1,Passenger-optimal,1021,6333,2484,7787,9,99,128,1,59,0.8132785411583409,0.05152979066022544,80,F1P,F1P
9,ALG2,Passenger-optimal,1783,4145,2365,7787,1,98,128,1,59,0.5322974187748812,0.054122621564482026,80,F2P,F2P
10,ALG1,Passenger-optimal,973,6923,2383,7794,34,99,153,2,59,0.8882473697716192,0.06420478388585817,80,F1P,F1P
11,ALG2,Passenger-optimal,1665,4138,2403,7794,1,99,153,1,58,0.5309212214523993,0.06367041198501873,80,F2P,F2P
12,ALG1,Passenger-optimal,1111,6614,2420,7776,35,99,146,1,58,0.8505658436213992,0.0603305785123967,80,F1P,F1P
13,ALG2,Passenger-optimal,1609,4059,2520,7776,1,99,146,1,59,0.5219907407407407,0.05793650793650794,80,F2P,F2P
14,ALG1,Passenger-optimal,1210,6274,2512,7815,8,99,131,1,59,0.8028150991682661,0.05214968152866242,80,F1P,F1P
15,ALG2,Passenger-optimal,1565,3844,2426,7815,2,99,131,2,59,0.491874600127959,0.05399835119538335,80,F2P,F2P
16,ALG1,Passenger-optimal,1048,5861,2253,7796,11,99,134,1,56,0.7517957927142124,0.05947625388371061,80,F1P,F1P
17,ALG2,Passenger-optimal,1398,3813,2352,7796,2,98,134,1,59,0.4890969728065675,0.05697278911564626,80,F2P,F2P
18,ALG1,Passenger-optimal,1133,6333,2492,7832,27,99,146,1,59,0.808605720122574,0.058587479935794544,80,F1P,F1P
19,ALG2,Passenger-optimal,1696,3969,2272,7832,1,99,146,1,59,0.5067671092951992,0.06426056338028169,80,F2P,F2P
20,ALG1,Passenger-optimal,1075,6737,2379,7795,18,99,150,1,59,0.8642719692110327,0.06305170239596469,80,F1P,F1P
21,ALG2,Passenger-optimal,1429,4227,2166,7795,1,99,150,1,59,0.5422706863373957,0.06925207756232687,80,F2P,F2P
22,ALG1,Passenger-optimal,792,5564,2401,7785,3,99,121,2,59,0.7147077713551702,0.05039566847147022,80,F1P,F1P
23,ALG2,Passenger-optimal,1573,3931,2283,7785,1,99,121,1,59,0.5049454078355813,0.05300043802014893,80,F2P,F2P
24,ALG1,Passenger-optimal,1111,6402,2278,7768,34,99,130,1,56,0.824150360453141,0.05706760316066725,80,F1P,F1P
25,ALG2,Passenger-optimal,1332,4197,2266,7768,2,98,130,1,59,0.5402935118434603,0.05736981465136805,80,F2P,F2P
26,ALG1,Passenger-optimal,1147,5740,2328,7816,1,99,148,1,59,0.7343909928352098,0.06357388316151202,80,F1P,F1P
27,ALG2,Passenger-optimal,1544,3959,2663,7816,1,99,148,1,59,0.506525076765609,0.055576417574164476,80,F2P,F2P
28,ALG1,Passenger-optimal,998,5899,2489,7776,5,99,130,1,59,0.758616255144033,0.052229811169144234,80,F1P,F1P
29,ALG2,Passenger-optimal,1410,4386,2358,7776,2,98,130,1,59,0.5640432098765432,0.0551314673452078,80,F2P,F2P
30,ALG1,Passenger-optimal,892,6296,2234,7789,4,99,152,1,59,0.8083194248298883,0.06803939122649955,80,F1P,F1P
31,ALG2,Passenger-optimal,1371,3824,2380,7789,3,97,152,2,59,0.4909487739119271,0.06386554621848739,80,F2P,F2P
32,ALG1,Passenger-optimal,1103,6679,2394,7802,25,99,137,1,59,0.8560625480645988,0.057226399331662486,80,F1P,F1P
33,ALG2,Passenger-optimal,1425,3953,2348,7802,1,99,137,1,58,0.506664957703153,0.05834752981260647,80,F2P,F2P
34,ALG1,Passenger-optimal,994,6565,2272,7809,3,99,149,2,58,0.8406966320911768,0.06558098591549295,80,F1P,F1P
35,ALG2,Passenger-optimal,1421,4021,2524,7809,1,97,149,1,59,0.5149186835702395,0.05903328050713154,80,F2P,F2P
36,ALG1,Passenger-optimal,1001,6453,2312,7775,21,99,128,1,59,0.829967845659164,0.05536332179930796,80,F1P,F1P
37,ALG2,Passenger-optimal,1559,3829,2467,7775,2,99,128,1,59,0.492475884244373,0.05188488042156465,80,F2P,F2P
38,ALG1,Passenger-optimal,1330,5773,2339,7803,4,99,120,1,59,0.7398436498782519,0.051303976058144504,80,F1P,F1P
39,ALG2,Passenger-optimal,1949,3291,2592,7803,1,99,120,1,59,0.421760861207228,0.046296296296296294,80,F2P,F2P
40,ALG1,Passenger-optimal,1047,5975,2240,7810,26,99,129,1,59,0.765044814340589,0.05758928571428571,80,F1P,F1P
41,ALG2,Passenger-optimal,1488,4218,2571,7810,1,98,129,1,59,0.5400768245838669,0.050175029171528586,80,F2P,F2P
42,ALG1,Passenger-optimal,1053,6206,2447,7764,17,98,118,1,59,0.7993302421432251,0.04822231303637107,80,F1P,F1P
43,ALG2,Passenger-optimal,1492,3911,2400,7764,1,99,118,1,59,0.5037351880473983,0.049166666666666664,80,F2P,F2P
44,ALG1,Passenger-optimal,1104,6162,2360,7802,14,99,126,1,59,0.789797487823635,0.053389830508474574,80,F1P,F1P
45,ALG2,Passenger-optimal,1584,3964,2435,7802,1,97,126,1,59,0.508074852601897,0.05174537987679671,80,F2P,F2P
46,ALG1,Passenger-optimal,858,6083,2457,7809,11,99,132,1,59,0.7789729798949929,0.05372405372405373,80,F1P,F1P
47,ALG2,Passenger-optimal,1588,3927,2284,7809,1,99,132,2,59,0.5028812908182866,0.05779334500875657,80,F2P,F2P
48,ALG1,Passenger-optimal,982,6475,2260,7809,11,99,141,1,59,0.8291714688180305,0.062389380530973454,80,F1P,F1P
49,ALG2,Passenger-optimal,1662,4047,2517,7809,1,98,141,1,58,0.5182481751824818,0.05601907032181168,80,F2P,F2P
50,ALG1,Passenger-optimal,1003,6433,2434,7779,29,99,139,1,58,0.8269700475639542,0.0571076417419885,80,F1P,F1P
51,ALG2,Passenger-optimal,1444,4442,2537,7779,2,99,139,1,59,0.5710245532844839,0.05478912100906583,80,F2P,F2P
52,ALG1,Passenger-optimal,1241,6395,2312,7812,25,99,154,1,59,0.8186123911930363,0.06660899653979238,80,F1P,F1P
53,ALG2,Passenger-optimal,1676,3512,2485,7812,1,99,154,1,59,0.4495647721454173,0.061971830985915494,80,F2P,F2P
54,ALG1,Passenger-optimal,1113,6771,2559,7803,5,99,136,1,59,0.8677431757016532,0.05314576006252442,80,F1P,F1P
55,ALG2,Passenger-optimal,1680,3833,2661,7803,1,98,136,1,58,0.49122132513135974,0.051108605787298006,80,F2P,F2P
56,ALG1,Passenger-optimal,1098,5931,2135,7773,1,99,132,1,57,0.7630258587417985,0.061826697892271666,80,F1P,F1P
57,ALG2,Passenger-optimal,1137,4682,2685,7773,1,99,132,1,58,0.602341438312106,0.049162011173184354,80,F2P,F2P
58,ALG1,Passenger-optimal,1217,5857,2270,7805,8,99,142,1,58,0.750416399743754,0.06255506607929516,80,F1P,F1P
59,ALG2,Passenger-optimal,1635,3668,2307,7805,3,99,142,1,59,0.46995515695067264,0.06155179887299523,80,F2P,F2P
60,ALG1,Passenger-optimal,861,6411,2252,7781,13,99,141,1,59,0.8239300861071842,0.06261101243339254,80,F1P,F1P
61,ALG2,Passenger-optimal,1597,3917,2462,7781,1,99,141,1,59,0.5034057319110654,0.05727051177904143,80,F2P,F2P
62,ALG1,Passenger-optimal,925,6125,2193,7791,1,99,134,1,59,0.7861635220125787,0.061103511171910624,80,F1P,F1P
63,ALG2,Passenger-optimal,1493,4212,2217,7791,1,98,134,1,57,0.5406237966884867,0.060442038791159225,80,F2P,F2P
64,ALG1,Passenger-optimal,997,6917,2232,7824,12,99,139,1,59,0.8840746421267893,0.062275985663082435,80,F1P,F1P
65,ALG2,Passenger-optimal,1277,4300,2123,7824,4,98,139,2,58,0.5495910020449898,0.06547338671691004,80,F2P,F2P
66,ALG1,Passenger-optimal,869,6169,2429,7768,2,99,134,1,59,0.7941555097837281,0.055166735282009056,80,F1P,F1P
67,ALG2,Passenger-optimal,1289,4346,2247,7768,7,98,134,2,59,0.5594747682801235,0.059635068980863376,80,F2P,F2P
68,ALG1,Passenger-optimal,1053,6180,2400,7802,9,99,127,1,59,0.7921045885670341,0.05291666666666667,80,F1P,F1P
69,ALG2,Passenger-optimal,1841,3487,2395,7802,2,99,127,2,58,0.44693668290182004,0.05302713987473904,80,F2P,F2P
70,ALG1,Passenger-optimal,1018,6205,2434,7819,1,99,135,2,59,0.793579741654943,0.055464256368118324,80,F1P,F1P
71,ALG2,Passenger-optimal,1665,3675,2078,7819,1,99,135,2,59,0.4700089525514772,0.06496631376323388,80,F2P,F2P
72,ALG1,Passenger-optimal,1059,5461,2428,7822,2,99,133,1,59,0.6981590386090514,0.054777594728171335,80,F1P,F1P
73,ALG2,Passenger-optimal,1862,3991,2294,7822,1,97,133,3,59,0.5102275632830479,0.05797733217088056,80,F2P,F2P
74,ALG1,Passenger-optimal,1114,6804,2542,7791,17,99,140,1,59,0.8733153638814016,0.05507474429583006,80,F1P,F1P
75,ALG2,Passenger-optimal,1716,4105,2314,7791,1,99,140,1,59,0.5268900012835322,0.06050129645635264,80,F2P,F2P
76,ALG1,Passenger-optimal,1116,6228,2406,7769,15,99,148,1,59,0.8016475736903076,0.06151288445552785,80,F1P,F1P
77,ALG2,Passenger-optimal,1680,3777,2394,7769,2,92,148,1,59,0.486162955335307,0.061821219715956555,80,F2P,F2P
78,ALG1,Passenger-optimal,1138,5799,2373,7761,7,99,137,1,58,0.7471975260919984,0.05773282764433207,80,F1P,F1P
79,ALG2,Passenger-optimal,1663,3808,2593,7761,1,99,137,1,59,0.4906584203066615,0.052834554569996146,80,F2P,F2P
80,ALG1,Passenger-optimal,1154,6447,2565,7832,28,99,148,2,59,0.8231613891726252,0.05769980506822612,80,F1P,F1P
81,ALG2,Passenger-optimal,1546,3906,2309,7832,1,99,148,1,59,0.4987231869254341,0.06409701169337376,80,F2P,F2P
82,ALG1,Passenger-optimal,1088,7004,2341,7786,34,99,155,1,59,0.8995633187772926,0.06621102093122597,80,F1P,F1P
83,ALG2,Passenger-optimal,1497,4055,2516,7786,2,99,155,1,58,0.5208065759054714,0.06160572337042925,80,F2P,F2P
84,ALG1,Passenger-optimal,1177,6209,2487,7797,5,98,138,2,57,0.7963319225343081,0.05548854041013269,80,F1P,F1P
85,ALG2,Passenger-optimal,1512,3933,2613,7797,1,99,138,2,59,0.504424778761062,0.05281285878300804,80,F2P,F2P
86,ALG1,Passenger-optimal,1115,5964,2294,7797,18,99,139,1,59,0.7649095806079261,0.06059285091543156,80,F1P,F1P
87,ALG2,Passenger-optimal,1556,4103,2309,7797,2,99,139,1,59,0.5262280364242657,0.060199220441749676,80,F2P,F2P
88,ALG1,Passenger-optimal,1008,6316,2336,7781,31,99,133,1,59,0.8117208585014779,0.056934931506849314,80,F1P,F1P
89,ALG2,Passenger-optimal,1992,3212,2253,7781,1,98,133,2,57,0.41280041125819306,0.05903240124278739,80,F2P,F2P
90,ALG1,Passenger-optimal,1405,6502,2470,7805,2,99,139,2,59,0.833055733504164,0.0562753036437247,80,F1P,F1P
91,ALG2,Passenger-optimal,1517,4086,2281,7805,1,98,139,1,58,0.5235105701473415,0.060938185006576065,80,F2P,F2P
92,ALG1,Passenger-optimal,860,6112,2686,7817,9,99,134,1,59,0.7818856338748881,0.04988830975428146,80,F1P,F1P
93,ALG2,Passenger-optimal,1154,4909,2472,7817,1,99,134,1,58,0.6279902776001023,0.054207119741100325,80,F2P,F2P
94,ALG1,Passenger-optimal,1127,6461,2437,7799,4,99,133,1,59,0.828439543531222,0.05457529749692244,80,F1P,F1P
95,ALG2,Passenger-optimal,1391,4265,2139,7799,1,98,133,1,59,0.5468649826900884,0.06217858812529219,80,F2P,F2P
96,ALG1,Passenger-optimal,991,6678,2331,7791,10,99,145,2,59,0.8571428571428571,0.0622050622050622,80,F1P,F1P
97,ALG2,Passenger-optimal,1460,3853,2151,7791,3,99,145,2,59,0.49454498780644335,0.06741050674105067,80,F2P,F2P
98,ALG1,Passenger-optimal,1120,6506,2327,7816,7,99,140,2,59,0.8323950870010235,0.060163300386764075,80,F1P,F1P
99,ALG2,Passenger-optimal,1346,4582,2624,7816,6,99,140,2,59,0.5862333674513818,0.053353658536585365,80,F2P,F2P
100,ALG1,Passenger-optimal,979,6464,2358,7806,16,99,142,1,59,0.8280809633615168,0.06022052586938083,80,F1P,F1P
101,ALG2,Passenger-optimal,1614,3356,2705,7806,2,98,142,1,58,0.4299256981808865,0.05249537892791128,80,F2P,F2P
102,ALG1,Passenger-optimal,972,6381,2278,7804,18,99,133,1,57,0.8176576114812917,0.058384547848990345,80,F1P,F1P
103,ALG2,Passenger-optimal,1698,3904,2555,7804,2,97,133,1,58,0.5002562788313686,0.052054794520547946,80,F2P,F2P
104,ALG1,Passenger-optimal,1088,5870,2257,7779,3,99,132,1,59,0.754595706388996,0.05848471422241914,80,F1P,F1P
105,ALG2,Passenger-optimal,1555,3642,2268,7779,1,98,132,1,59,0.4681835711531045,0.0582010582010582,80,F2P,F2P
106,ALG1,Passenger-optimal,1094,6226,2380,7795,34,99,145,1,58,0.7987171263630533,0.06092436974789916,80,F1P,F1P
107,ALG2,Passenger-optimal,1718,3937,2420,7795,5,99,145,1,58,0.5050673508659397,0.05991735537190083,80,F2P,F2P
108,ALG1,Passenger-optimal,813,6464,2362,7791,18,99,147,1,59,0.8296752663329483,0.06223539373412362,80,F1P,F1P
109,ALG2,Passenger-optimal,1422,4099,2502,7791,1,98,147,1,59,0.5261198819150301,0.05875299760191847,80,F2P,F2P
110,ALG1,Passenger-optimal,961,6243,2182,7774,11,99,146,1,59,0.8030614870079753,0.06691109074243813,80,F1P,F1P
111,ALG2,Passenger-optimal,1406,4392,2484,7774,1,99,146,2,59,0.5649601234885516,0.05877616747181964,80,F2P,F2P
112,ALG1,Passenger-optimal,1045,5757,2491,7796,2,99,141,2,59,0.7384556182657773,0.05660377358490566,80,F1P,F1P
113,ALG2,Passenger-optimal,1624,3448,2369,7796,1,98,141,3,59,0.4422780913288866,0.0595187842971718,80,F2P,F2P
114,ALG1,Passenger-optimal,976,6546,2094,7783,19,99,149,1,58,0.8410638571245022,0.07115568290353391,80,F1P,F1P
115,ALG2,Passenger-optimal,1581,4015,2524,7783,1,99,149,1,59,0.515867917255557,0.05903328050713154,80,F2P,F2P
116,ALG1,Passenger-optimal,1177,6545,2019,7795,33,99,131,1,59,0.8396407953816549,0.06488360574541853,80,F1P,F1P
117,ALG2,Passenger-optimal,1597,3813,2645,7795,1,94,131,2,58,0.4891597177677999,0.04952741020793951,80,F2P,F2P
118,ALG1,Passenger-optimal,1001,6102,2414,7789,9,99,129,1,59,0.783412504814482,0.05343827671913836,80,F1P,F1P
119,ALG2,Passenger-optimal,1896,3578,2170,7789,2,99,129,2,58,0.45936577224290664,0.05944700460829493,80,F2P,F2P
120,ALG1,Passenger-optimal,1086,6827,2555,7800,37,99,135,2,59,0.8752564102564102,0.05283757338551859,80,F1P,F1P
121,ALG2,Passenger-optimal,1488,3996,2480,7800,1,99,135,1,59,0.5123076923076924,0.05443548387096774,80,F2P,F2P
122,ALG1,Passenger-optimal,1041,6019,2386,7784,17,98,141,1,58,0.7732528263103803,0.05909471919530595,80,F1P,F1P
123,ALG2,Passenger-optimal,1589,3922,2260,7784,1,97,141,1,59,0.5038540596094553,0.062389380530973454,80,F2P,F2P
124,ALG1,Passenger-optimal,1150,6697,2231,7812,21,99,130,1,59,0.8572708653353814,0.05826983415508741,80,F1P,F1P
125,ALG2,Passenger-optimal,1612,4060,2217,7812,1,95,130,1,58,0.5197132616487455,0.05863779882724402,80,F2P,F2P
126,ALG1,Passenger-optimal,944,5734,2281,7781,1,98,149,1,59,0.736923274643362,0.06532222709338009,80,F1P,F1P
127,ALG2,Passenger-optimal,1473,4035,2240,7781,1,99,149,1,59,0.5185708777792057,0.06651785714285714,80,F2P,F2P
128,ALG1,Passenger-optimal,1115,6104,2443,7791,6,99,135,1,59,0.7834681042228212,0.05525992632009824,80,F1P,F1P
129,ALG2,Passenger-optimal,1575,3852,2365,7791,1,98,135,1,59,0.49441663457835966,0.05708245243128964,80,F2P,F2P
130,ALG1,Passenger-optimal,1061,6586,2492,7815,33,99,145,1,59,0.8427383237364043,0.05818619582664526,80,F1P,F1P
131,ALG2,Passenger-optimal,1376,4089,2082,7815,1,99,145,1,59,0.5232245681381957,0.06964457252641691,80,F2P,F2P
132,ALG1,Passenger-optimal,1255,6028,2306,7811,10,99,132,3,58,0.7717321725771348,0.05724197745013009,80,F1P,F1P
133,ALG2,Passenger-optimal,1570,3723,2532,7811,3,99,132,1,59,0.4766355140186916,0.052132701421800945,80,F2P,F2P
134,ALG1,Passenger-optimal,1050,5670,2511,7815,9,99,132,1,59,0.72552783109405,0.052568697729988054,80,F1P,F1P
135,ALG2,Passenger-optimal,1405,4408,2459,7815,1,98,132,1,59,0.564043506078055,0.05368035786905246,80,F2P,F2P
136,ALG1,Passenger-optimal,1128,6674,2123,7803,39,99,153,1,58,0.8553120594643085,0.07206782854451248,80,F1P,F1P
137,ALG2,Passenger-optimal,1541,3858,2253,7803,2,99,153,1,59,0.4944252210688197,0.06790945406125166,80,F2P,F2P
138,ALG1,Passenger-optimal,992,6342,2087,7796,6,99,141,1,59,0.8134940995382247,0.06756109247724006,80,F1P,F1P
139,ALG2,Passenger-optimal,1560,4063,2643,7796,1,98,141,1,59,0.5211646998460749,0.053348467650397274,80,F2P,F2P
140,ALG1,Passenger-optimal,978,6331,2481,7798,16,99,122,1,59,0.8118748397024879,0.04917372027408303,80,F1P,F1P
141,ALG2,Passenger-optimal,1461,3780,2172,7798,2,99,122,1,59,0.48473967684021546,0.056169429097605895,80,F2P,F2P
142,ALG1,Passenger-optimal,963,6207,2207,7795,2,99,135,1,58,0.7962796664528544,0.061169007702763935,80,F1P,F1P
143,ALG2,Passenger-optimal,1329,4118,2303,7795,1,99,135,1,59,0.5282873636946761,0.058619192357794184,80,F2P,F2P
144,ALG1,Passenger-optimal,926,6829,2790,7805,15,99,149,2,59,0.8749519538757207,0.053405017921146956,80,F1P,F1P
