Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,271,3348,618.0,3842,39,99,0,0,45,0.8714211348256117,0.0,40,F1P,F1P
1,ALG2,Passenger-optimal,375,2194,795.0,3842,2,99,0,0,54,0.571056741280583,0.0,40,F2P,F2P
2,ALG1,Passenger-optimal,297,3333,715.0,3836,21,99,0,0,54,0.868873826903024,0.0,40,F1P,F1P
3,ALG2,Passenger-optimal,284,2082,786.0,3836,1,98,0,0,55,0.5427528675703858,0.0,40,F2P,F2P
4,ALG1,Passenger-optimal,207,3138,663.0,3840,14,98,0,0,49,0.8171875,0.0,40,F1P,F1P
5,ALG2,Passenger-optimal,304,2109,614.0,3840,2,98,0,0,46,0.54921875,0.0,40,F2P,F2P
6,ALG1,Passenger-optimal,348,3094,564.0,3839,20,99,0,0,50,0.8059390466267257,0.0,40,F1P,F1P
7,ALG2,Passenger-optimal,425,1812,759.0,3839,3,99,0,0,49,0.4719979161239906,0.0,40,F2P,F2P
8,ALG1,Passenger-optimal,258,2960,693.0,3817,2,98,0,0,50,0.7754781241812942,0.0,40,F1P,F1P
9,ALG2,Passenger-optimal,361,1864,782.0,3817,5,94,0,0,46,0.4883416295520042,0.0,40,F2P,F2P
10,ALG1,Passenger-optimal,315,3372,430.0,3825,36,98,0,0,48,0.8815686274509804,0.0,40,F1P,F1P
11,ALG2,Passenger-optimal,386,2003,730.0,3825,2,94,0,0,46,0.5236601307189542,0.0,40,F2P,F2P
12,ALG1,Passenger-optimal,349,3125,538.0,3848,8,99,0,0,49,0.8121101871101871,0.0,40,F1P,F1P
13,ALG2,Passenger-optimal,394,2231,742.0,3848,3,99,0,0,49,0.5797817047817048,0.0,40,F2P,F2P
14,ALG1,Passenger-optimal,335,3219,661.0,3837,35,99,0,0,53,0.8389366692728695,0.0,40,F1P,F1P
15,ALG2,Passenger-optimal,349,2167,594.0,3837,2,99,0,0,55,0.564764138649987,0.0,40,F2P,F2P
16,ALG1,Passenger-optimal,182,2950,709.0,3819,7,98,0,0,55,0.7724535218643624,0.0,40,F1P,F1P
17,ALG2,Passenger-optimal,256,2151,644.0,3819,4,95,0,0,47,0.5632364493322859,0.0,40,F2P,F2P
18,ALG1,Passenger-optimal,205,3386,678.0,3823,13,99,0,0,58,0.8856918650274653,0.0,40,F1P,F1P
19,ALG2,Passenger-optimal,273,2457,565.0,3823,6,99,0,0,51,0.64268898770599,0.0,40,F2P,F2P
20,ALG1,Passenger-optimal,207,3211,506.0,3834,16,99,0,0,49,0.8375065206051121,0.0,40,F1P,F1P
21,ALG2,Passenger-optimal,351,1836,540.0,3834,3,98,0,0,50,0.4788732394366197,0.0,40,F2P,F2P
22,ALG1,Passenger-optimal,195,3302,611.0,3823,32,99,0,0,49,0.8637195919434999,0.0,40,F1P,F1P
23,ALG2,Passenger-optimal,437,1844,728.0,3823,1,98,0,0,52,0.4823437091289563,0.0,40,F2P,F2P
24,ALG1,Passenger-optimal,156,3265,597.0,3803,33,99,0,0,49,0.8585327373126479,0.0,40,F1P,F1P
25,ALG2,Passenger-optimal,326,1874,507.0,3803,3,95,0,0,48,0.49276886668419667,0.0,40,F2P,F2P
26,ALG1,Passenger-optimal,301,3261,561.0,3839,19,99,0,0,47,0.8494399583224798,0.0,40,F1P,F1P
27,ALG2,Passenger-optimal,339,2316,628.0,3839,4,96,0,0,55,0.6032821047147695,0.0,40,F2P,F2P
28,ALG1,Passenger-optimal,228,3490,676.0,3812,6,99,0,0,48,0.9155299055613851,0.0,40,F1P,F1P
29,ALG2,Passenger-optimal,359,2002,670.0,3812,2,96,0,0,41,0.525183630640084,0.0,40,F2P,F2P
30,ALG1,Passenger-optimal,183,3185,597.0,3837,8,99,0,0,55,0.8300755798801147,0.0,40,F1P,F1P
