Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,1766,9007,1682.0,9793,27,99,0,0,53,0.9197385887879097,0.0,100,F1P,F1P
1,ALG2,Passenger-optimal,2288,4831,1951.0,9793,2,99,0,0,52,0.49331154906565916,0.0,100,F2P,F2P
2,ALG1,Passenger-optimal,1563,8853,1585.0,9782,25,99,0,0,50,0.9050296462891024,0.0,100,F1P,F1P
3,ALG2,Passenger-optimal,2186,4975,1807.0,9782,2,97,0,0,55,0.5085872009813944,0.0,100,F2P,F2P
4,ALG1,Passenger-optimal,1857,9149,1599.0,9794,57,99,0,0,52,0.9341433530733102,0.0,100,F1P,F1P
5,ALG2,Passenger-optimal,2555,4250,1803.0,9794,1,99,0,0,51,0.43393914641617315,0.0,100,F2P,F2P
6,ALG1,Passenger-optimal,1784,8796,2066.0,9780,10,99,0,0,55,0.8993865030674847,0.0,100,F1P,F1P
7,ALG2,Passenger-optimal,2077,5667,1725.0,9780,1,99,0,0,52,0.5794478527607362,0.0,100,F2P,F2P
8,ALG1,Passenger-optimal,1741,8787,1788.0,9808,5,99,0,0,54,0.8959013050570962,0.0,100,F1P,F1P
9,ALG2,Passenger-optimal,2357,4903,1623.0,9808,2,98,0,0,53,0.49989804241435565,0.0,100,F2P,F2P
10,ALG1,Passenger-optimal,1809,8947,1524.0,9775,26,99,0,0,51,0.9152941176470588,0.0,100,F1P,F1P
11,ALG2,Passenger-optimal,2342,4868,1945.0,9775,3,99,0,0,52,0.49800511508951406,0.0,100,F2P,F2P
12,ALG1,Passenger-optimal,1775,8977,1549.0,9777,20,99,0,0,56,0.9181753093996113,0.0,100,F1P,F1P
13,ALG2,Passenger-optimal,2561,4956,1819.0,9777,1,99,0,0,54,0.5069039582694078,0.0,100,F2P,F2P
14,ALG1,Passenger-optimal,1588,8864,1605.0,9795,39,99,0,0,52,0.904951505870342,0.0,100,F1P,F1P
15,ALG2,Passenger-optimal,1893,5222,1772.0,9795,2,99,0,0,54,0.5331291475242471,0.0,100,F2P,F2P
16,ALG1,Passenger-optimal,1592,8996,1523.0,9796,40,99,0,0,50,0.9183340138832177,0.0,100,F1P,F1P
17,ALG2,Passenger-optimal,1950,5505,1643.0,9796,1,99,0,0,58,0.5619640669661086,0.0,100,F2P,F2P
18,ALG1,Passenger-optimal,1725,8857,1953.0,9799,3,99,0,0,53,0.9038677416062864,0.0,100,F1P,F1P
19,ALG2,Passenger-optimal,2391,4897,1824.0,9799,4,99,0,0,54,0.4997448719257067,0.0,100,F2P,F2P
20,ALG1,Passenger-optimal,1302,8690,1574.0,9761,16,99,0,0,55,0.8902776354881672,0.0,100,F1P,F1P
21,ALG2,Passenger-optimal,2257,4803,1542.0,9761,1,97,0,0,46,0.4920602397295359,0.0,100,F2P,F2P
22,ALG1,Passenger-optimal,1620,8858,1494.0,9770,35,99,0,0,51,0.9066530194472876,0.0,100,F1P,F1P
23,ALG2,Passenger-optimal,2265,5038,1658.0,9770,3,99,0,0,56,0.5156601842374616,0.0,100,F2P,F2P
24,ALG1,Passenger-optimal,1673,8750,1824.0,9778,5,99,0,0,54,0.8948660257721416,0.0,100,F1P,F1P
25,ALG2,Passenger-optimal,2596,4601,1842.0,9778,1,99,0,0,53,0.47054612395172835,0.0,100,F2P,F2P
26,ALG1,Passenger-optimal,1598,9075,1668.0,9807,58,99,0,0,55,0.9253594371367391,0.0,100,F1P,F1P
27,ALG2,Passenger-optimal,1992,5271,1611.0,9807,2,99,0,0,52,0.5374732334047109,0.0,100,F2P,F2P
28,ALG1,Passenger-optimal,1631,8875,1634.0,9808,29,99,0,0,52,0.904873572593801,0.0,100,F1P,F1P
29,ALG2,Passenger-optimal,2206,5468,1587.0,9808,1,98,0,0,57,0.5575040783034257,0.0,100,F2P,F2P
30,ALG1,Passenger-optimal,1538,8685,1586.0,9791,4,99,0,0,51,0.8870391175569401,0.0,100,F1P,F1P
31,ALG2,Passenger-optimal,2413,5158,1814.0,9791,1,98,0,0,54,0.5268103360228782,0.0,100,F2P,F2P
32,ALG1,Passenger-optimal,2042,9104,1767.0,9778,30,99,0,0,56,0.9310697484148087,0.0,100,F1P,F1P
33,ALG2,Passenger-optimal,2432,4569,1764.0,9778,2,99,0,0,54,0.46727347105747596,0.0,100,F2P,F2P
34,ALG1,Passenger-optimal,1444,8889,2110.0,9775,16,99,0,0,56,0.9093606138107417,0.0,100,F1P,F1P
35,ALG2,Passenger-optimal,2628,4668,1761.0,9775,1,98,0,0,49,0.47754475703324806,0.0,100,F2P,F2P
36,ALG1,Passenger-optimal,1514,8590,1601.0,9765,3,99,0,0,56,0.8796722990271377,0.0,100,F1P,F1P
37,ALG2,Passenger-optimal,2067,5348,1872.0,9765,5,99,0,0,53,0.5476702508960574,0.0,100,F2P,F2P
38,ALG1,Passenger-optimal,1352,8680,1699.0,9755,13,99,0,0,55,0.8898001025115325,0.0,100,F1P,F1P
39,ALG2,Passenger-optimal,2281,4853,1910.0,9755,1,98,0,0,53,0.4974884674525884,0.0,100,F2P,F2P
40,ALG1,Passenger-optimal,1713,8814,1920.0,9786,28,99,0,0,58,0.9006744328632741,0.0,100,F1P,F1P
41,ALG2,Passenger-optimal,2482,4627,1578.0,9786,1,99,0,0,49,0.4728183118741059,0.0,100,F2P,F2P
42,ALG1,Passenger-optimal,1831,8794,1465.0,9766,11,99,0,0,52,0.9004710219127585,0.0,100,F1P,F1P
43,ALG2,Passenger-optimal,2656,4737,2072.0,9766,2,99,0,0,57,0.4850501740733156,0.0,100,F2P,F2P
44,ALG1,Passenger-optimal,1659,9087,1609.0,9771,18,99,0,0,56,0.9299969296898987,0.0,100,F1P,F1P
45,ALG2,Passenger-optimal,1994,5295,1758.0,9771,1,99,0,0,56,0.5419097328830211,0.0,100,F2P,F2P
46,ALG1,Passenger-optimal,1404,8850,1614.0,9775,10,99,0,0,53,0.9053708439897699,0.0,100,F1P,F1P
47,ALG2,Passenger-optimal,2403,4638,1615.0,9775,1,96,0,0,54,0.4744757033248082,0.0,100,F2P,F2P
48,ALG1,Passenger-optimal,1675,8744,1794.0,9782,17,99,0,0,52,0.8938867307299121,0.0,100,F1P,F1P
49,ALG2,Passenger-optimal,2562,4920,1880.0,9782,3,99,0,0,53,0.5029646289102433,0.0,100,F2P,F2P
50,ALG1,Passenger-optimal,1525,8684,1803.0,9793,8,99,0,0,52,0.8867558460124578,0.0,100,F1P,F1P
51,ALG2,Passenger-optimal,2292,5063,1944.0,9793,1,99,0,0,57,0.5170019401613397,0.0,100,F2P,F2P
52,ALG1,Passenger-optimal,1559,8896,1733.0,9789,38,99,0,0,56,0.908775155787108,0.0,100,F1P,F1P
53,ALG2,Passenger-optimal,2014,5558,1871.0,9789,6,97,0,0,56,0.5677801614056595,0.0,100,F2P,F2P
54,ALG1,Passenger-optimal,1917,8772,1618.0,9766,5,99,0,0,55,0.8982183084169568,0.0,100,F1P,F1P
55,ALG2,Passenger-optimal,2013,5276,1933.0,9766,1,98,0,0,49,0.5402416547204587,0.0,100,F2P,F2P
56,ALG1,Passenger-optimal,1512,9093,1470.0,9776,37,99,0,0,51,0.9301350245499181,0.0,100,F1P,F1P
57,ALG2,Passenger-optimal,2537,4610,1707.0,9776,2,98,0,0,50,0.4715630114566285,0.0,100,F2P,F2P
58,ALG1,Passenger-optimal,1360,8822,1448.0,9774,13,99,0,0,55,0.902598731328013,0.0,100,F1P,F1P
59,ALG2,Passenger-optimal,2244,5084,1748.0,9774,1,97,0,0,54,0.5201555146306528,0.0,100,F2P,F2P
60,ALG1,Passenger-optimal,1639,8786,1884.0,9769,35,99,0,0,49,0.8993755758010031,0.0,100,F1P,F1P
61,ALG2,Passenger-optimal,2156,5363,1798.0,9769,1,98,0,0,54,0.5489814720032756,0.0,100,F2P,F2P
