Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,1974,8197,3415,9793,11,99,149,1,59,0.8370264474624732,0.04363103953147877,100,F1P,F1P
1,ALG2,Passenger-optimal,2632,4831,3134,9793,2,99,149,1,59,0.49331154906565916,0.047543075941289085,100,F2P,F2P
2,ALG1,Passenger-optimal,1410,8104,2903,9782,12,99,159,1,59,0.8284604375383358,0.054770926627626594,100,F1P,F1P
3,ALG2,Passenger-optimal,2326,4975,3000,9782,2,97,159,1,59,0.5085872009813944,0.053,100,F2P,F2P
4,ALG1,Passenger-optimal,1605,8059,2889,9794,19,99,147,1,59,0.8228507249336329,0.05088265835929388,100,F1P,F1P
5,ALG2,Passenger-optimal,2694,4250,3201,9794,1,99,147,1,59,0.43393914641617315,0.04592314901593252,100,F2P,F2P
6,ALG1,Passenger-optimal,1560,8270,3063,9780,24,99,148,2,58,0.84560327198364,0.04831864185439112,100,F1P,F1P
7,ALG2,Passenger-optimal,2257,5667,2986,9780,1,99,148,1,59,0.5794478527607362,0.04956463496316142,100,F2P,F2P
8,ALG1,Passenger-optimal,1633,7782,2746,9808,2,99,148,1,59,0.7934339314845025,0.053896576839038604,100,F1P,F1P
9,ALG2,Passenger-optimal,2437,4903,2817,9808,2,98,148,1,59,0.49989804241435565,0.05253816116435925,100,F2P,F2P
10,ALG1,Passenger-optimal,1899,7149,2951,9775,18,99,156,1,59,0.7313554987212276,0.05286343612334802,100,F1P,F1P
11,ALG2,Passenger-optimal,2550,4868,3386,9775,3,99,156,1,59,0.49800511508951406,0.04607206142941524,100,F2P,F2P
12,ALG1,Passenger-optimal,1480,8094,3109,9777,18,99,153,1,59,0.8278613071494323,0.049211965262142165,100,F1P,F1P
13,ALG2,Passenger-optimal,2742,4956,3189,9777,1,99,153,1,59,0.5069039582694078,0.04797742238946378,100,F2P,F2P
14,ALG1,Passenger-optimal,1513,7797,2862,9795,1,99,149,1,59,0.7960183767228177,0.052061495457721874,100,F1P,F1P
15,ALG2,Passenger-optimal,2030,5222,3066,9795,2,99,149,1,59,0.5331291475242471,0.048597521200260924,100,F2P,F2P
16,ALG1,Passenger-optimal,1434,7705,2911,9796,20,99,147,1,59,0.7865455287872601,0.05049811061490896,100,F1P,F1P
17,ALG2,Passenger-optimal,2079,5505,2945,9796,1,99,147,1,59,0.5619640669661086,0.0499151103565365,100,F2P,F2P
18,ALG1,Passenger-optimal,1513,8037,3346,9799,9,99,145,3,59,0.8201857332380855,0.043335325762104006,100,F1P,F1P
19,ALG2,Passenger-optimal,2384,4897,3179,9799,4,99,145,1,59,0.4997448719257067,0.04561182761874803,100,F2P,F2P
20,ALG1,Passenger-optimal,1348,7794,3109,9761,21,99,148,3,59,0.7984837619096404,0.047603731103248635,100,F1P,F1P
21,ALG2,Passenger-optimal,2492,4803,2946,9761,1,97,148,1,59,0.4920602397295359,0.05023761031907671,100,F2P,F2P
22,ALG1,Passenger-optimal,1482,8174,3103,9770,6,99,149,1,59,0.8366427840327533,0.048018047051240735,100,F1P,F1P
23,ALG2,Passenger-optimal,2292,5038,2983,9770,3,99,149,1,59,0.5156601842374616,0.049949715051961115,100,F2P,F2P
24,ALG1,Passenger-optimal,1383,8437,3084,9778,45,99,164,1,59,0.8628553896502352,0.05317769130998703,100,F1P,F1P
25,ALG2,Passenger-optimal,2657,4601,3050,9778,1,99,164,2,59,0.47054612395172835,0.05377049180327869,100,F2P,F2P
26,ALG1,Passenger-optimal,1603,8326,2971,9807,31,99,160,1,59,0.8489854185785664,0.05385392123864019,100,F1P,F1P
27,ALG2,Passenger-optimal,2092,5271,2843,9807,2,99,160,1,59,0.5374732334047109,0.056278578965881114,100,F2P,F2P
28,ALG1,Passenger-optimal,1663,7592,2773,9808,3,99,147,1,59,0.7740619902120718,0.05301117922827263,100,F1P,F1P
29,ALG2,Passenger-optimal,2380,5468,2930,9808,1,98,147,1,59,0.5575040783034257,0.050170648464163824,100,F2P,F2P
30,ALG1,Passenger-optimal,1633,8046,2831,9791,4,99,150,1,59,0.8217750995812481,0.05298481102084069,100,F1P,F1P
31,ALG2,Passenger-optimal,2468,5158,3073,9791,1,98,150,1,59,0.5268103360228782,0.0488122356003905,100,F2P,F2P
32,ALG1,Passenger-optimal,1474,8090,3339,9778,2,99,153,1,59,0.8273675598281858,0.04582210242587601,100,F1P,F1P
33,ALG2,Passenger-optimal,2731,4569,3159,9778,2,99,153,1,59,0.46727347105747596,0.04843304843304843,100,F2P,F2P
34,ALG1,Passenger-optimal,1712,7590,2884,9775,11,99,158,1,58,0.7764705882352941,0.054785020804438284,100,F1P,F1P
35,ALG2,Passenger-optimal,2742,4668,3126,9775,1,98,158,2,59,0.47754475703324806,0.05054382597568778,100,F2P,F2P
36,ALG1,Passenger-optimal,1204,8494,2917,9765,24,99,142,1,59,0.8698412698412699,0.04868015083990401,100,F1P,F1P
37,ALG2,Passenger-optimal,2129,5348,3098,9765,5,99,142,1,59,0.5476702508960574,0.045836023240800515,100,F2P,F2P
38,ALG1,Passenger-optimal,1620,8595,3151,9755,44,99,146,1,59,0.8810866222450026,0.0463344969850841,100,F1P,F1P
39,ALG2,Passenger-optimal,2414,4853,3278,9755,1,98,146,2,59,0.4974884674525884,0.044539353264185476,100,F2P,F2P
40,ALG1,Passenger-optimal,1814,8271,2907,9786,33,99,145,1,59,0.8451870018393624,0.04987960096319229,100,F1P,F1P
41,ALG2,Passenger-optimal,2768,4627,2917,9786,1,99,145,1,59,0.4728183118741059,0.049708604730887895,100,F2P,F2P
42,ALG1,Passenger-optimal,1638,7983,2999,9766,3,99,155,1,59,0.8174278107720664,0.051683894631543846,100,F1P,F1P
43,ALG2,Passenger-optimal,2739,4737,3224,9766,2,99,155,1,59,0.4850501740733156,0.04807692307692308,100,F2P,F2P
44,ALG1,Passenger-optimal,1398,7133,2832,9771,2,99,143,1,59,0.7300173984239074,0.050494350282485875,100,F1P,F1P
45,ALG2,Passenger-optimal,2059,5295,2977,9771,1,99,143,2,59,0.5419097328830211,0.048034934497816595,100,F2P,F2P
46,ALG1,Passenger-optimal,1529,8520,3036,9775,41,99,147,1,59,0.871611253196931,0.04841897233201581,100,F1P,F1P
47,ALG2,Passenger-optimal,2556,4638,3013,9775,1,96,147,1,59,0.4744757033248082,0.04878858280783273,100,F2P,F2P
48,ALG1,Passenger-optimal,1895,7982,2952,9782,14,99,152,1,59,0.8159885503986914,0.051490514905149054,100,F1P,F1P
49,ALG2,Passenger-optimal,2569,4920,3068,9782,3,99,152,1,59,0.5029646289102433,0.04954367666232073,100,F2P,F2P
50,ALG1,Passenger-optimal,1476,8299,3136,9793,5,99,149,2,58,0.8474420504441948,0.04751275510204082,100,F1P,F1P
51,ALG2,Passenger-optimal,2415,5063,3189,9793,1,99,149,1,59,0.5170019401613397,0.04672311069300721,100,F2P,F2P
52,ALG1,Passenger-optimal,1560,8115,3270,9789,15,99,144,2,59,0.828991725406068,0.044036697247706424,100,F1P,F1P
53,ALG2,Passenger-optimal,2102,5558,3201,9789,6,97,144,1,59,0.5677801614056595,0.04498594189315839,100,F2P,F2P
54,ALG1,Passenger-optimal,1825,7674,2978,9766,8,99,142,1,59,0.7857874257628507,0.04768300873069174,100,F1P,F1P
55,ALG2,Passenger-optimal,2112,5276,3057,9766,1,98,142,1,58,0.5402416547204587,0.04645076872751063,100,F2P,F2P
56,ALG1,Passenger-optimal,1695,7719,2796,9776,3,99,148,2,58,0.7895867430441899,0.05293276108726753,100,F1P,F1P
57,ALG2,Passenger-optimal,2662,4610,2923,9776,2,98,148,1,56,0.4715630114566285,0.05063291139240506,100,F2P,F2P
58,ALG1,Passenger-optimal,1682,8234,2764,9774,12,99,147,1,59,0.84243912420708,0.05318379160636758,100,F1P,F1P
59,ALG2,Passenger-optimal,2318,5084,2906,9774,1,97,147,1,58,0.5201555146306528,0.05058499655884377,100,F2P,F2P
60,ALG1,Passenger-optimal,1408,8262,3165,9769,14,99,147,2,59,0.8457365134609479,0.046445497630331754,100,F1P,F1P
61,ALG2,Passenger-optimal,2242,5363,3128,9769,1,98,147,1,58,0.5489814720032756,0.04699488491048593,100,F2P,F2P
62,ALG1,Passenger-optimal,1876,8298,2845,9779,34,99,151,1,59,0.8485530217813683,0.053075571177504395,100,F1P,F1P
63,ALG2,Passenger-optimal,2769,4886,2890,9779,1,98,151,1,59,0.49964209019327127,0.05224913494809689,100,F2P,F2P
64,ALG1,Passenger-optimal,1411,7981,3074,9784,10,99,146,1,59,0.8157195421095667,0.04749512036434613,100,F1P,F1P
65,ALG2,Passenger-optimal,2585,4577,2724,9784,2,99,146,1,59,0.4678045789043336,0.053597650513950074,100,F2P,F2P
66,ALG1,Passenger-optimal,1749,7936,2617,9773,8,99,164,1,59,0.8120331525631843,0.06266717615590371,100,F1P,F1P
67,ALG2,Passenger-optimal,2107,5531,3174,9773,3,98,164,1,59,0.5659469968279955,0.0516698172652804,100,F2P,F2P
68,ALG1,Passenger-optimal,1546,7499,2971,9784,5,99,152,1,59,0.7664554374488961,0.05116122517670818,100,F1P,F1P
69,ALG2,Passenger-optimal,2082,5394,2896,9784,1,98,152,1,59,0.5513082583810303,0.052486187845303865,100,F2P,F2P
70,ALG1,Passenger-optimal,1879,8264,2864,9800,11,99,156,1,58,0.843265306122449,0.05446927374301676,100,F1P,F1P
71,ALG2,Passenger-optimal,2022,5555,2601,9800,3,99,156,1,58,0.5668367346938775,0.05997693194925029,100,F2P,F2P
72,ALG1,Passenger-optimal,1841,8509,2703,9786,30,99,152,1,59,0.869507459636215,0.05623381428042915,100,F1P,F1P
73,ALG2,Passenger-optimal,2574,4738,2997,9786,1,99,152,1,59,0.48416104639280605,0.050717384050717386,100,F2P,F2P
74,ALG1,Passenger-optimal,1499,8566,3199,9795,27,99,155,1,59,0.874527820316488,0.04845264145045327,100,F1P,F1P
75,ALG2,Passenger-optimal,2590,4699,2993,9795,1,99,155,1,59,0.47973455844818785,0.051787504176411626,100,F2P,F2P
76,ALG1,Passenger-optimal,1602,8441,2666,9779,26,99,144,1,54,0.8631761938848553,0.05401350337584396,100,F1P,F1P
77,ALG2,Passenger-optimal,2449,4673,2889,9779,1,99,144,1,58,0.4778607219552101,0.04984423676012461,100,F2P,F2P
78,ALG1,Passenger-optimal,1776,7201,3227,9780,3,98,148,1,59,0.7362985685071575,0.0458630306786489,100,F1P,F1P
79,ALG2,Passenger-optimal,2537,4615,3104,9780,1,99,148,2,59,0.471881390593047,0.04768041237113402,100,F2P,F2P
80,ALG1,Passenger-optimal,1700,8064,2799,9776,9,99,154,1,58,0.8248772504091653,0.05501964987495534,100,F1P,F1P
81,ALG2,Passenger-optimal,2345,5028,3043,9776,1,99,154,2,59,0.5143207855973814,0.050607952678278015,100,F2P,F2P
82,ALG1,Passenger-optimal,1661,7683,3119,9798,5,99,148,1,59,0.7841396203306797,0.047451106123757615,100,F1P,F1P
83,ALG2,Passenger-optimal,2498,5274,3082,9798,1,99,148,1,59,0.5382731169626455,0.048020765736534715,100,F2P,F2P
84,ALG1,Passenger-optimal,1625,7912,2818,9786,10,99,150,1,58,0.8085019415491519,0.053229240596167494,100,F1P,F1P
85,ALG2,Passenger-optimal,2658,4661,2967,9786,2,98,150,1,59,0.476292662987942,0.05055611729019211,100,F2P,F2P
86,ALG1,Passenger-optimal,1580,7271,3341,9766,5,99,161,1,59,0.7445218103624821,0.04818916492068243,100,F1P,F1P
87,ALG2,Passenger-optimal,2339,5005,2951,9766,1,97,161,1,59,0.5124923202949007,0.05455777702473738,100,F2P,F2P
88,ALG1,Passenger-optimal,1647,7742,2928,9802,5,99,144,1,59,0.7898388084064477,0.04918032786885246,100,F1P,F1P
89,ALG2,Passenger-optimal,2598,5023,3003,9802,1,99,144,1,59,0.5124464395021424,0.04795204795204795,100,F2P,F2P
90,ALG1,Passenger-optimal,1654,8469,3101,9773,32,99,156,1,59,0.8665711654558478,0.05030635278942277,100,F1P,F1P
91,ALG2,Passenger-optimal,2096,5440,2979,9773,1,99,156,1,59,0.5566356287731505,0.05236656596173213,100,F2P,F2P
92,ALG1,Passenger-optimal,1649,7821,2865,9779,23,99,154,1,59,0.7997750281214848,0.0537521815008726,100,F1P,F1P
93,ALG2,Passenger-optimal,2325,5315,2874,9779,1,99,154,1,59,0.5435116065037325,0.05358385525400139,100,F2P,F2P
94,ALG1,Passenger-optimal,1754,8378,2871,9787,30,99,154,1,58,0.8560335138448963,0.05363984674329502,100,F1P,F1P
95,ALG2,Passenger-optimal,2584,4615,3166,9787,1,97,154,2,58,0.47154388474507,0.04864181933038535,100,F2P,F2P
96,ALG1,Passenger-optimal,1575,8238,3071,9808,20,99,142,2,59,0.8399265905383361,0.04623901009443178,100,F1P,F1P
97,ALG2,Passenger-optimal,2632,4904,2784,9808,1,99,142,1,59,0.5,0.05100574712643678,100,F2P,F2P
98,ALG1,Passenger-optimal,1773,8456,2832,9799,47,99,147,1,59,0.8629451984896418,0.05190677966101695,100,F1P,F1P
99,ALG2,Passenger-optimal,2225,5235,3110,9799,1,99,147,1,59,0.5342381875701602,0.047266881028938904,100,F2P,F2P
100,ALG1,Passenger-optimal,1418,7433,3083,9798,4,99,152,1,59,0.7586242090222495,0.04930262731106066,100,F1P,F1P
