Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,224,3235,1236,3842,16,99,114,3,57,0.8420093701197293,0.09223300970873786,40,F1P,F1P
1,ALG2,Passenger-optimal,399,2194,1342,3842,2,99,114,2,59,0.571056741280583,0.08494783904619971,40,F2P,F2P
2,ALG1,Passenger-optimal,235,3164,1241,3836,23,99,116,3,59,0.8248175182481752,0.09347300564061241,40,F1P,F1P
3,ALG2,Passenger-optimal,316,2082,1277,3836,1,98,116,1,59,0.5427528675703858,0.0908379013312451,40,F2P,F2P
4,ALG1,Passenger-optimal,182,3236,1099,3840,51,98,120,1,59,0.8427083333333333,0.1091901728844404,40,F1P,F1P
5,ALG2,Passenger-optimal,316,2109,1052,3840,2,98,120,1,54,0.54921875,0.11406844106463879,40,F2P,F2P
6,ALG1,Passenger-optimal,278,2874,1175,3839,7,97,126,3,59,0.748632456368846,0.1072340425531915,40,F1P,F1P
7,ALG2,Passenger-optimal,424,1812,1339,3839,3,99,126,1,58,0.4719979161239906,0.09410007468259896,40,F2P,F2P
8,ALG1,Passenger-optimal,214,3185,1360,3817,15,98,104,2,58,0.8344249410531831,0.07647058823529412,40,F1P,F1P
9,ALG2,Passenger-optimal,365,1864,1317,3817,5,94,104,1,55,0.4883416295520042,0.07896735003796507,40,F2P,F2P
10,ALG1,Passenger-optimal,229,3123,1087,3825,31,98,111,1,55,0.8164705882352942,0.10211591536338546,40,F1P,F1P
11,ALG2,Passenger-optimal,419,2003,1308,3825,2,94,111,3,58,0.5236601307189542,0.08486238532110092,40,F2P,F2P
12,ALG1,Passenger-optimal,248,3129,1218,3848,25,99,99,1,59,0.8131496881496881,0.0812807881773399,40,F1P,F1P
13,ALG2,Passenger-optimal,419,2231,1321,3848,3,99,99,1,58,0.5797817047817048,0.07494322482967448,40,F2P,F2P
14,ALG1,Passenger-optimal,297,2933,1053,3837,5,99,107,1,58,0.7643992702632265,0.10161443494776828,40,F1P,F1P
15,ALG2,Passenger-optimal,360,2167,1120,3837,2,99,107,1,59,0.564764138649987,0.09553571428571428,40,F2P,F2P
16,ALG1,Passenger-optimal,225,3168,1183,3819,13,98,116,2,59,0.8295365278868814,0.09805579036348266,40,F1P,F1P
17,ALG2,Passenger-optimal,281,2151,1182,3819,4,95,116,2,56,0.5632364493322859,0.09813874788494077,40,F2P,F2P
18,ALG1,Passenger-optimal,254,3277,1003,3823,4,99,114,2,59,0.8571802249542244,0.11365902293120637,40,F1P,F1P
19,ALG2,Passenger-optimal,281,2457,1058,3823,6,99,114,1,57,0.64268898770599,0.10775047258979206,40,F2P,F2P
20,ALG1,Passenger-optimal,244,3119,1026,3834,25,99,95,2,59,0.8135106937923839,0.09259259259259259,40,F1P,F1P
21,ALG2,Passenger-optimal,398,1836,1075,3834,3,98,95,1,59,0.4788732394366197,0.08837209302325581,40,F2P,F2P
22,ALG1,Passenger-optimal,236,3046,1162,3823,6,99,87,2,58,0.7967564739733194,0.07487091222030981,40,F1P,F1P
23,ALG2,Passenger-optimal,482,1844,1245,3823,1,98,87,2,58,0.4823437091289563,0.06987951807228916,40,F2P,F2P
24,ALG1,Passenger-optimal,190,3076,1177,3803,3,99,105,2,58,0.8088351301603997,0.08920985556499575,40,F1P,F1P
25,ALG2,Passenger-optimal,385,1874,1009,3803,3,95,105,3,56,0.49276886668419667,0.10406342913776016,40,F2P,F2P
26,ALG1,Passenger-optimal,256,2990,1162,3839,11,99,98,1,57,0.778848658504819,0.08433734939759036,40,F1P,F1P
27,ALG2,Passenger-optimal,347,2316,1095,3839,4,96,98,3,58,0.6032821047147695,0.08949771689497717,40,F2P,F2P
28,ALG1,Passenger-optimal,299,2928,1031,3812,14,99,94,1,57,0.7681007345225603,0.09117361784675072,40,F1P,F1P
29,ALG2,Passenger-optimal,357,2002,1191,3812,2,96,94,1,58,0.525183630640084,0.07892527287993283,40,F2P,F2P
30,ALG1,Passenger-optimal,224,3177,1212,3837,34,98,137,1,59,0.8279906176700548,0.11303630363036303,40,F1P,F1P
31,ALG2,Passenger-optimal,370,1897,1257,3837,3,96,137,1,57,0.4943966640604639,0.10898965791567224,40,F2P,F2P
32,ALG1,Passenger-optimal,263,2760,1266,3832,9,99,122,1,59,0.7202505219206681,0.09636650868878358,40,F1P,F1P
33,ALG2,Passenger-optimal,325,2163,1294,3832,1,99,122,4,59,0.5644572025052192,0.09428129829984544,40,F2P,F2P
34,ALG1,Passenger-optimal,277,2936,1187,3826,19,99,97,2,58,0.7673810768426556,0.08171861836562763,40,F1P,F1P
35,ALG2,Passenger-optimal,535,1785,1296,3826,1,97,97,2,59,0.4665446941975954,0.07484567901234568,40,F2P,F2P
36,ALG1,Passenger-optimal,262,2591,1118,3806,3,99,94,1,57,0.6807672096689438,0.08407871198568873,40,F1P,F1P
37,ALG2,Passenger-optimal,535,1495,1167,3806,1,95,94,2,58,0.3928008407777194,0.0805484147386461,40,F2P,F2P
38,ALG1,Passenger-optimal,249,2757,1285,3828,6,98,121,2,59,0.7202194357366771,0.09416342412451362,40,F1P,F1P
39,ALG2,Passenger-optimal,500,1930,1227,3828,1,96,121,2,59,0.5041797283176593,0.09861450692746536,40,F2P,F2P
40,ALG1,Passenger-optimal,235,3236,1106,3822,15,99,136,1,55,0.8466771323914181,0.12296564195298372,40,F1P,F1P
41,ALG2,Passenger-optimal,444,1838,1337,3822,1,99,136,1,58,0.48090005232862376,0.10172026925953627,40,F2P,F2P
42,ALG1,Passenger-optimal,191,3382,1316,3807,39,99,107,1,59,0.8883635408458104,0.08130699088145897,40,F1P,F1P
43,ALG2,Passenger-optimal,429,1768,1327,3807,3,99,107,1,56,0.46440767008142897,0.08063300678221552,40,F2P,F2P
44,ALG1,Passenger-optimal,197,3082,1059,3825,3,99,121,3,59,0.8057516339869281,0.11425873465533522,40,F1P,F1P
45,ALG2,Passenger-optimal,337,2174,1094,3825,3,97,121,1,59,0.5683660130718954,0.11060329067641682,40,F2P,F2P
46,ALG1,Passenger-optimal,272,3090,1264,3809,23,99,106,1,58,0.8112365450249409,0.08386075949367089,40,F1P,F1P
47,ALG2,Passenger-optimal,285,2470,1199,3809,3,99,106,1,52,0.6484641638225256,0.0884070058381985,40,F2P,F2P
48,ALG1,Passenger-optimal,261,3118,1039,3814,27,99,121,1,56,0.8175144205558469,0.11645813282001925,40,F1P,F1P
49,ALG2,Passenger-optimal,413,1775,1169,3814,1,94,121,3,57,0.4653906659674882,0.10350727117194183,40,F2P,F2P
50,ALG1,Passenger-optimal,349,2713,1011,3788,13,99,99,1,59,0.7162090813093981,0.09792284866468842,40,F1P,F1P
51,ALG2,Passenger-optimal,392,1839,1182,3788,1,99,99,1,57,0.485480464625132,0.08375634517766498,40,F2P,F2P
52,ALG1,Passenger-optimal,258,2931,1082,3851,21,98,105,1,59,0.7611010127239678,0.09704251386321626,40,F1P,F1P
53,ALG2,Passenger-optimal,330,2221,1111,3851,1,97,105,1,57,0.5767333160218125,0.09450945094509451,40,F2P,F2P
54,ALG1,Passenger-optimal,254,2937,1242,3812,3,99,106,2,58,0.7704616998950682,0.0853462157809984,40,F1P,F1P
55,ALG2,Passenger-optimal,357,2212,1272,3812,5,96,106,1,59,0.5802728226652676,0.08333333333333333,40,F2P,F2P
56,ALG1,Passenger-optimal,303,2852,1067,3818,3,99,112,2,59,0.7469879518072289,0.1049671977507029,40,F1P,F1P
57,ALG2,Passenger-optimal,297,2058,1307,3818,1,99,112,3,59,0.5390256678889471,0.08569242540168324,40,F2P,F2P
58,ALG1,Passenger-optimal,226,2893,917,3773,5,99,118,2,58,0.7667638483965015,0.128680479825518,40,F1P,F1P
59,ALG2,Passenger-optimal,338,2132,1180,3773,1,98,118,1,58,0.5650675854757488,0.1,40,F2P,F2P
60,ALG1,Passenger-optimal,379,2919,1080,3837,12,99,114,1,59,0.7607505863956215,0.10555555555555556,40,F1P,F1P
61,ALG2,Passenger-optimal,324,2047,1328,3837,1,94,114,5,59,0.5334897054990878,0.0858433734939759,40,F2P,F2P
62,ALG1,Passenger-optimal,316,2754,1066,3782,29,99,104,1,55,0.7281861448968799,0.0975609756097561,40,F1P,F1P
63,ALG2,Passenger-optimal,387,1906,1343,3782,1,99,104,2,59,0.5039661554732946,0.0774385703648548,40,F2P,F2P
64,ALG1,Passenger-optimal,302,3156,1292,3851,9,99,111,5,59,0.8195273954816931,0.08591331269349846,40,F1P,F1P
65,ALG2,Passenger-optimal,318,1852,1197,3851,1,97,111,1,59,0.4809140482991431,0.09273182957393483,40,F2P,F2P
66,ALG1,Passenger-optimal,265,2883,1287,3798,5,99,105,2,59,0.759083728278041,0.08158508158508158,40,F1P,F1P
67,ALG2,Passenger-optimal,400,2143,1261,3798,4,99,105,1,59,0.5642443391258557,0.08326724821570182,40,F2P,F2P
68,ALG1,Passenger-optimal,253,2872,1068,3838,24,99,100,2,57,0.7483064095883273,0.09363295880149813,40,F1P,F1P
69,ALG2,Passenger-optimal,369,2086,1071,3838,3,99,100,2,57,0.5435122459614382,0.09337068160597572,40,F2P,F2P
70,ALG1,Passenger-optimal,347,3390,1410,3826,28,99,135,5,59,0.8860428646105594,0.09574468085106383,40,F1P,F1P
71,ALG2,Passenger-optimal,394,2118,1098,3826,1,99,135,2,59,0.5535807631991636,0.12295081967213115,40,F2P,F2P
72,ALG1,Passenger-optimal,308,3187,1038,3846,22,99,119,1,59,0.8286531461258451,0.11464354527938343,40,F1P,F1P
73,ALG2,Passenger-optimal,373,1986,1031,3846,2,99,119,1,56,0.516380655226209,0.11542192046556742,40,F2P,F2P
74,ALG1,Passenger-optimal,233,3124,1198,3859,4,99,101,1,59,0.8095361492614667,0.08430717863105175,40,F1P,F1P
75,ALG2,Passenger-optimal,282,1909,1087,3859,4,98,101,1,59,0.49468774293858514,0.09291628334866606,40,F2P,F2P
76,ALG1,Passenger-optimal,255,3282,1171,3845,4,99,112,1,55,0.8535760728218466,0.09564474807856532,40,F1P,F1P
77,ALG2,Passenger-optimal,381,2135,1201,3845,1,99,112,2,59,0.5552665799739922,0.093255620316403,40,F2P,F2P
78,ALG1,Passenger-optimal,288,3265,1075,3835,37,99,116,1,58,0.8513689700130378,0.10790697674418605,40,F1P,F1P
79,ALG2,Passenger-optimal,392,1799,1331,3835,3,93,116,3,59,0.4691003911342894,0.08715251690458302,40,F2P,F2P
80,ALG1,Passenger-optimal,285,3019,1234,3796,8,97,90,1,59,0.7953108535300316,0.07293354943273905,40,F1P,F1P
81,ALG2,Passenger-optimal,438,2000,1061,3796,1,98,90,2,54,0.5268703898840885,0.08482563619227144,40,F2P,F2P
82,ALG1,Passenger-optimal,308,3070,1368,3857,12,99,128,5,59,0.7959554057557687,0.0935672514619883,40,F1P,F1P
83,ALG2,Passenger-optimal,346,2012,1163,3857,3,98,128,2,56,0.5216489499611097,0.11006018916595013,40,F2P,F2P
84,ALG1,Passenger-optimal,253,3392,1198,3840,12,99,133,3,59,0.8833333333333333,0.11101836393989983,40,F1P,F1P
85,ALG2,Passenger-optimal,429,1823,1252,3840,1,98,133,1,59,0.4747395833333333,0.1062300319488818,40,F2P,F2P
86,ALG1,Passenger-optimal,197,3310,1366,3812,31,99,91,1,59,0.8683105981112277,0.06661786237188873,40,F1P,F1P
87,ALG2,Passenger-optimal,452,1723,1362,3812,4,99,91,6,59,0.45199370409233997,0.06681350954478708,40,F2P,F2P
88,ALG1,Passenger-optimal,242,2834,1183,3813,7,99,120,1,58,0.7432467873065828,0.1014370245139476,40,F1P,F1P
89,ALG2,Passenger-optimal,357,1976,1175,3813,2,99,120,2,57,0.5182271177550485,0.10212765957446808,40,F2P,F2P
90,ALG1,Passenger-optimal,151,2712,1040,3830,10,99,125,1,56,0.7080939947780679,0.1201923076923077,40,F1P,F1P
91,ALG2,Passenger-optimal,319,2148,1119,3830,3,99,125,2,59,0.5608355091383812,0.11170688114387846,40,F2P,F2P
92,ALG1,Passenger-optimal,313,3098,1214,3822,8,99,105,1,57,0.8105703819989535,0.08649093904448106,40,F1P,F1P
93,ALG2,Passenger-optimal,479,1638,1353,3822,1,99,105,2,59,0.42857142857142855,0.07760532150776053,40,F2P,F2P
94,ALG1,Passenger-optimal,336,3175,1334,3805,14,99,90,1,59,0.8344283837056504,0.06746626686656672,40,F1P,F1P
95,ALG2,Passenger-optimal,448,1902,1362,3805,5,98,90,1,59,0.49986859395532196,0.06607929515418502,40,F2P,F2P
96,ALG1,Passenger-optimal,191,2836,1362,3838,11,99,103,2,59,0.7389265242313705,0.07562408223201175,40,F1P,F1P
97,ALG2,Passenger-optimal,325,2231,1299,3838,2,98,103,4,58,0.5812923397602918,0.07929176289453425,40,F2P,F2P
98,ALG1,Passenger-optimal,291,3191,1188,3835,28,99,124,3,58,0.8320730117340287,0.10437710437710437,40,F1P,F1P
99,ALG2,Passenger-optimal,330,2316,1330,3835,1,99,124,1,58,0.6039113428943937,0.09323308270676692,40,F2P,F2P
100,ALG1,Passenger-optimal,241,2997,1259,3822,2,99,124,1,59,0.7841444270015698,0.09849086576648133,40,F1P,F1P
101,ALG2,Passenger-optimal,436,1870,1240,3822,2,96,124,4,58,0.489272632129775,0.1,40,F2P,F2P
102,ALG1,Passenger-optimal,254,2893,1356,3825,18,99,121,1,59,0.7563398692810458,0.08923303834808259,40,F1P,F1P
103,ALG2,Passenger-optimal,392,2041,1062,3825,2,97,121,2,57,0.5335947712418301,0.11393596986817325,40,F2P,F2P
