Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,58,1406,401.0,1812,5,98,0,0,50,0.7759381898454746,0.0,20,F1P,F1P
1,ALG2,Passenger-optimal,119,852,253.0,1812,1,96,0,0,51,0.47019867549668876,0.0,20,F2P,F2P
2,ALG1,Passenger-optimal,62,1196,246.0,1886,9,97,4,0,46,0.6341463414634146,0.016260162601626018,20,F1P,F1P
3,ALG2,Passenger-optimal,77,1060,353.0,1886,1,99,4,0,48,0.5620360551431601,0.0113314447592068,20,F2P,F2P
4,ALG1,Passenger-optimal,52,1275,314.0,1836,1,94,0,0,47,0.6944444444444444,0.0,20,F1P,F1P
5,ALG2,Passenger-optimal,67,948,433.0,1836,3,94,0,0,45,0.5163398692810458,0.0,20,F2P,F2P
6,ALG1,Passenger-optimal,67,1486,294.0,1846,26,99,0,0,40,0.8049837486457205,0.0,20,F1P,F1P
7,ALG2,Passenger-optimal,88,1070,396.0,1846,10,99,0,0,51,0.5796316359696642,0.0,20,F2P,F2P
8,ALG1,Passenger-optimal,54,1573,409.0,1815,42,98,0,0,55,0.8666666666666667,0.0,20,F1P,F1P
9,ALG2,Passenger-optimal,56,1186,283.0,1815,2,96,0,0,41,0.6534435261707989,0.0,20,F2P,F2P
10,ALG1,Passenger-optimal,59,1485,281.0,1875,5,99,0,0,51,0.792,0.0,20,F1P,F1P
11,ALG2,Passenger-optimal,81,983,227.0,1875,3,93,0,0,34,0.5242666666666667,0.0,20,F2P,F2P
12,ALG1,Passenger-optimal,38,1551,384.0,1817,38,98,0,0,54,0.8536048431480462,0.0,20,F1P,F1P
13,ALG2,Passenger-optimal,54,1151,357.0,1817,13,98,0,0,42,0.6334617501375894,0.0,20,F2P,F2P
14,ALG1,Passenger-optimal,54,1550,328.0,1853,29,99,0,0,51,0.8364813815434431,0.0,20,F1P,F1P
15,ALG2,Passenger-optimal,59,1159,257.0,1853,13,95,0,0,50,0.6254722072315164,0.0,20,F2P,F2P
16,ALG1,Passenger-optimal,64,1265,434.0,1910,18,98,0,0,53,0.662303664921466,0.0,20,F1P,F1P
17,ALG2,Passenger-optimal,91,886,243.0,1910,5,98,0,0,52,0.4638743455497382,0.0,20,F2P,F2P
18,ALG1,Passenger-optimal,62,1559,339.0,1820,36,99,0,0,41,0.8565934065934065,0.0,20,F1P,F1P
19,ALG2,Passenger-optimal,93,968,343.0,1820,4,91,0,0,51,0.5318681318681319,0.0,20,F2P,F2P
20,ALG1,Passenger-optimal,62,1445,304.0,1861,30,98,0,0,42,0.7764642665233745,0.0,20,F1P,F1P
21,ALG2,Passenger-optimal,107,836,387.0,1861,2,85,0,0,48,0.4492208490059108,0.0,20,F2P,F2P
22,ALG1,Passenger-optimal,34,1424,358.0,1851,18,98,0,0,57,0.7693138843868179,0.0,20,F1P,F1P
23,ALG2,Passenger-optimal,104,1035,382.0,1851,2,98,0,0,49,0.5591572123176661,0.0,20,F2P,F2P
24,ALG1,Passenger-optimal,54,1375,416.0,1803,8,99,0,0,48,0.7626178591236827,0.0,20,F1P,F1P
25,ALG2,Passenger-optimal,65,1019,385.0,1803,9,99,0,0,49,0.5651691625069329,0.0,20,F2P,F2P
26,ALG1,Passenger-optimal,55,1545,337.0,1868,26,99,0,0,46,0.8270877944325482,0.0,20,F1P,F1P
27,ALG2,Passenger-optimal,75,1140,371.0,1868,13,95,0,0,46,0.6102783725910065,0.0,20,F2P,F2P
28,ALG1,Passenger-optimal,58,1612,322.0,1818,23,99,0,0,51,0.8866886688668867,0.0,20,F1P,F1P
29,ALG2,Passenger-optimal,74,1021,352.0,1818,13,96,0,0,52,0.5616061606160616,0.0,20,F2P,F2P
30,ALG1,Passenger-optimal,59,1528,262.0,1848,24,99,0,0,38,0.8268398268398268,0.0,20,F1P,F1P
31,ALG2,Passenger-optimal,99,967,333.0,1848,3,99,0,0,49,0.5232683982683982,0.0,20,F2P,F2P
32,ALG1,Passenger-optimal,48,1536,161.0,1856,21,99,0,0,48,0.8275862068965517,0.0,20,F1P,F1P
33,ALG2,Passenger-optimal,65,1126,288.0,1856,16,99,0,0,50,0.6066810344827587,0.0,20,F2P,F2P
34,ALG1,Passenger-optimal,50,1609,250.0,1835,11,98,2,0,49,0.8768392370572207,0.008,20,F1P,F1P
35,ALG2,Passenger-optimal,71,1173,402.0,1835,9,95,2,0,42,0.6392370572207084,0.004975124378109453,20,F2P,F2P
36,ALG1,Passenger-optimal,53,1263,279.0,1853,8,98,0,0,48,0.6815974096060442,0.0,20,F1P,F1P
37,ALG2,Passenger-optimal,109,1015,389.0,1853,3,95,0,0,46,0.5477603885590934,0.0,20,F2P,F2P
38,ALG1,Passenger-optimal,76,1610,268.0,1852,43,96,0,0,46,0.8693304535637149,0.0,20,F1P,F1P
39,ALG2,Passenger-optimal,104,888,347.0,1852,4,90,0,0,48,0.4794816414686825,0.0,20,F2P,F2P
40,ALG1,Passenger-optimal,58,1387,400.0,1856,35,99,0,0,51,0.7473060344827587,0.0,20,F1P,F1P
41,ALG2,Passenger-optimal,101,1036,351.0,1856,3,95,0,0,47,0.5581896551724138,0.0,20,F2P,F2P
42,ALG1,Passenger-optimal,84,1539,369.0,1871,14,99,0,0,42,0.8225547835382149,0.0,20,F1P,F1P
