Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,1237,6986,1303.0,7791,20,99,0,0,48,0.8966756513926325,0.0,80,F1P,F1P
1,ALG2,Passenger-optimal,1374,3986,1379.0,7791,1,98,0,0,50,0.5116159671415736,0.0,80,F2P,F2P
2,ALG1,Passenger-optimal,963,7137,1278.0,7810,21,99,0,0,57,0.9138284250960307,0.0,80,F1P,F1P
3,ALG2,Passenger-optimal,1802,3708,1406.0,7810,1,99,0,0,56,0.47477592829705506,0.0,80,F2P,F2P
4,ALG1,Passenger-optimal,1021,7038,1239.0,7798,6,99,0,0,52,0.9025391125929726,0.0,80,F1P,F1P
5,ALG2,Passenger-optimal,1253,4354,1557.0,7798,1,99,0,0,51,0.5583482944344704,0.0,80,F2P,F2P
6,ALG1,Passenger-optimal,1179,7165,1376.0,7798,43,99,0,0,58,0.9188253398307258,0.0,80,F1P,F1P
7,ALG2,Passenger-optimal,1454,3711,1344.0,7798,1,99,0,0,57,0.4758912541677353,0.0,80,F2P,F2P
8,ALG1,Passenger-optimal,963,7057,1272.0,7787,43,99,0,0,53,0.9062540130987543,0.0,80,F1P,F1P
9,ALG2,Passenger-optimal,1700,4145,1382.0,7787,1,98,0,0,48,0.5322974187748812,0.0,80,F2P,F2P
10,ALG1,Passenger-optimal,1030,7113,1426.0,7794,36,99,0,0,54,0.9126250962278676,0.0,80,F1P,F1P
11,ALG2,Passenger-optimal,1519,4138,1394.0,7794,1,99,0,0,56,0.5309212214523993,0.0,80,F2P,F2P
12,ALG1,Passenger-optimal,981,6824,1684.0,7776,8,99,0,0,55,0.8775720164609053,0.0,80,F1P,F1P
13,ALG2,Passenger-optimal,1490,4059,1376.0,7776,1,99,0,0,52,0.5219907407407407,0.0,80,F2P,F2P
14,ALG1,Passenger-optimal,961,7068,1213.0,7815,21,99,0,0,51,0.9044145873320537,0.0,80,F1P,F1P
15,ALG2,Passenger-optimal,1416,3844,1349.0,7815,2,99,0,0,52,0.491874600127959,0.0,80,F2P,F2P
16,ALG1,Passenger-optimal,854,6833,1440.0,7796,11,99,0,0,54,0.8764751154438173,0.0,80,F1P,F1P
17,ALG2,Passenger-optimal,1173,3813,1365.0,7796,2,98,0,0,57,0.4890969728065675,0.0,80,F2P,F2P
18,ALG1,Passenger-optimal,963,7147,1554.0,7832,48,99,0,0,54,0.9125383043922369,0.0,80,F1P,F1P
19,ALG2,Passenger-optimal,1510,3969,1236.0,7832,1,99,0,0,50,0.5067671092951992,0.0,80,F2P,F2P
20,ALG1,Passenger-optimal,867,6998,1253.0,7795,19,99,0,0,53,0.8977549711353432,0.0,80,F1P,F1P
21,ALG2,Passenger-optimal,1413,4227,1352.0,7795,1,99,0,0,56,0.5422706863373957,0.0,80,F2P,F2P
22,ALG1,Passenger-optimal,1218,7051,1326.0,7785,44,99,0,0,53,0.9057161207450225,0.0,80,F1P,F1P
23,ALG2,Passenger-optimal,1560,3931,1276.0,7785,1,99,0,0,55,0.5049454078355813,0.0,80,F2P,F2P
24,ALG1,Passenger-optimal,1013,7159,1395.0,7768,49,99,0,0,57,0.9216014418125643,0.0,80,F1P,F1P
25,ALG2,Passenger-optimal,1247,4197,1262.0,7768,2,98,0,0,51,0.5402935118434603,0.0,80,F2P,F2P
26,ALG1,Passenger-optimal,920,6949,1397.0,7816,1,99,0,0,53,0.8890736949846468,0.0,80,F1P,F1P
27,ALG2,Passenger-optimal,1409,3959,1596.0,7816,1,99,0,0,53,0.506525076765609,0.0,80,F2P,F2P
28,ALG1,Passenger-optimal,962,6885,1321.0,7776,30,99,0,0,55,0.8854166666666666,0.0,80,F1P,F1P
29,ALG2,Passenger-optimal,1235,4386,1476.0,7776,2,98,0,0,55,0.5640432098765432,0.0,80,F2P,F2P
30,ALG1,Passenger-optimal,824,6970,1525.0,7789,23,99,0,0,54,0.8948517139555784,0.0,80,F1P,F1P
31,ALG2,Passenger-optimal,1329,3824,1293.0,7789,3,97,0,0,51,0.4909487739119271,0.0,80,F2P,F2P
32,ALG1,Passenger-optimal,1160,6959,1430.0,7802,6,99,0,0,47,0.8919507818508075,0.0,80,F1P,F1P
33,ALG2,Passenger-optimal,1356,3953,1369.0,7802,1,99,0,0,54,0.506664957703153,0.0,80,F2P,F2P
34,ALG1,Passenger-optimal,1140,6959,1608.0,7809,40,99,0,0,52,0.8911512357536177,0.0,80,F1P,F1P
35,ALG2,Passenger-optimal,1355,4021,1538.0,7809,1,97,0,0,55,0.5149186835702395,0.0,80,F2P,F2P
36,ALG1,Passenger-optimal,1074,6753,1480.0,7775,2,99,0,0,57,0.8685530546623794,0.0,80,F1P,F1P
37,ALG2,Passenger-optimal,1552,3829,1537.0,7775,2,99,0,0,55,0.492475884244373,0.0,80,F2P,F2P
38,ALG1,Passenger-optimal,1018,7070,1308.0,7803,33,99,0,0,55,0.9060617711136743,0.0,80,F1P,F1P
39,ALG2,Passenger-optimal,1865,3291,1570.0,7803,1,99,0,0,53,0.421760861207228,0.0,80,F2P,F2P
40,ALG1,Passenger-optimal,872,6878,1389.0,7810,9,99,0,0,56,0.8806658130601792,0.0,80,F1P,F1P
41,ALG2,Passenger-optimal,1322,4218,1470.0,7810,1,98,0,0,51,0.5400768245838669,0.0,80,F2P,F2P
42,ALG1,Passenger-optimal,1280,6916,1412.0,7764,33,99,0,0,57,0.8907779495105616,0.0,80,F1P,F1P
43,ALG2,Passenger-optimal,1435,3911,1284.0,7764,1,99,0,0,56,0.5037351880473983,0.0,80,F2P,F2P
44,ALG1,Passenger-optimal,1166,7182,1188.0,7802,37,99,0,0,53,0.9205331966162522,0.0,80,F1P,F1P
45,ALG2,Passenger-optimal,1406,3964,1359.0,7802,1,97,0,0,54,0.508074852601897,0.0,80,F2P,F2P
46,ALG1,Passenger-optimal,835,6842,1525.0,7809,28,99,0,0,48,0.8761685234985274,0.0,80,F1P,F1P
47,ALG2,Passenger-optimal,1527,3927,1214.0,7809,1,99,0,0,53,0.5028812908182866,0.0,80,F2P,F2P
48,ALG1,Passenger-optimal,1167,7005,1441.0,7809,22,99,0,0,55,0.8970418747598924,0.0,80,F1P,F1P
49,ALG2,Passenger-optimal,1563,4047,1423.0,7809,1,98,0,0,49,0.5182481751824818,0.0,80,F2P,F2P
50,ALG1,Passenger-optimal,986,7100,1333.0,7779,36,99,0,0,55,0.9127137164159917,0.0,80,F1P,F1P
51,ALG2,Passenger-optimal,1361,4442,1429.0,7779,2,99,0,0,53,0.5710245532844839,0.0,80,F2P,F2P
52,ALG1,Passenger-optimal,1080,6846,1375.0,7812,11,99,0,0,57,0.8763440860215054,0.0,80,F1P,F1P
53,ALG2,Passenger-optimal,1548,3512,1363.0,7812,1,99,0,0,45,0.4495647721454173,0.0,80,F2P,F2P
54,ALG1,Passenger-optimal,952,7073,1291.0,7803,37,99,0,0,47,0.9064462386261695,0.0,80,F1P,F1P
55,ALG2,Passenger-optimal,1571,3833,1677.0,7803,1,98,0,0,55,0.49122132513135974,0.0,80,F2P,F2P
56,ALG1,Passenger-optimal,1180,6973,1187.0,7773,1,99,0,0,50,0.8970796346327029,0.0,80,F1P,F1P
57,ALG2,Passenger-optimal,1157,4682,1714.0,7773,1,99,0,0,57,0.602341438312106,0.0,80,F2P,F2P
