,n=,Run Time in s
0,100,0.020839000000000052
1,200,0.11284799999999984
2,400,0.6816409999999997
3,600,2.001858
4,800,4.366646
5,1000,8.156302999999998
6,2000,56.293766000000005
7,4000,442.58473399999997
8,6000,1407.167817
9,8000,3247.011572
10,10000,6266.775519000001
