,n=,Run Time Pref in s,Run Time Alg1 in s,Run Time Alg2 in s
0,100,0.023700000000000054,0.006105000000000027,0.007995999999999892
1,200,0.13602000000000003,0.040022,0.04317100000000007
2,400,0.8289129999999998,0.2767759999999999,0.33355500000000005
3,600,2.378231,0.8686170000000004,1.0675780000000001
4,800,5.022182000000001,2.0082970000000007,2.4691050000000008
5,1000,9.110873000000002,3.6753800000000005,4.753883000000002
6,2000,62.438237,29.888670000000005,37.37500600000001
7,4000,453.81868399999996,228.95980599999996,282.91988100000003
8,6000,1476.820056,776.4633040000003,978.1684850000001
9,8000,3425.304389,1839.5010759999996,2323.7916320000004
10,10000,6646.176364000001,3641.2636429999984,4535.302417000003
